wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,2.3012e-21,1.10316e-19,2.3012e-21,6.05393e-29
0.2001052632,2.30802e-21,1.10148e-19,2.30802e-21,6.27758e-29
0.2002105817,2.31606e-21,1.0998e-19,2.31606e-21,6.49673e-29
0.2003159557,2.32413e-21,1.09812e-19,2.32413e-21,2.24649e-29
0.2004213852,2.33222e-21,1.09645e-19,2.33222e-21,0.0
0.2005268701,2.34033e-21,1.09478e-19,2.34033e-21,2.61396e-32
0.2006324106,2.34846e-21,1.09311e-19,2.34846e-21,8.62279e-32
0.2007380066,2.35661e-21,1.09145e-19,2.35661e-21,9.7434e-32
0.2008436581,2.36478e-21,1.08979e-19,2.36478e-21,1.40684e-31
0.2009493653,2.37298e-21,1.08813e-19,2.37298e-21,1.85452e-31
0.2010551282,2.38119e-21,1.08648e-19,2.38119e-21,5.2405e-31
0.2011609466,2.38943e-21,1.08482e-19,2.38943e-21,1.39908e-30
0.2012668208,2.39769e-21,1.08317e-19,2.39769e-21,2.54084e-30
0.2013727507,2.40597e-21,1.08153e-19,2.40597e-21,4.14314e-30
0.2014787364,2.41427e-21,1.07989e-19,2.41427e-21,7.15169e-30
0.2015847778,2.42259e-21,1.07825e-19,2.42259e-21,1.47745e-29
0.2016908751,2.43094e-21,1.07661e-19,2.43094e-21,1.71465e-29
0.2017970282,2.4393e-21,1.07498e-19,2.4393e-21,5.09369e-30
0.2019032371,2.44769e-21,1.07334e-19,2.44769e-21,1.38647e-30
0.202009502,2.4561e-21,1.07172e-19,2.4561e-21,1.17482e-30
0.2021158228,2.46453e-21,1.07009e-19,2.46453e-21,7.65632e-32
0.2022221995,2.47299e-21,1.06847e-19,2.47299e-21,6.93824e-32
0.2023286323,2.48146e-21,1.06685e-19,2.48146e-21,7.97112e-31
0.202435121,2.48996e-21,1.06523e-19,2.48996e-21,2.72273e-30
0.2025416658,2.49848e-21,1.06362e-19,2.49848e-21,6.87297e-30
0.2026482667,2.50702e-21,1.06201e-19,2.50702e-21,1.12793e-29
0.2027549237,2.51558e-21,1.0604e-19,2.51558e-21,1.63166e-29
0.2028616368,2.52417e-21,1.0588e-19,2.52417e-21,3.0747e-29
0.2029684061,2.53277e-21,1.0572e-19,2.53277e-21,5.24909e-29
0.2030752316,2.5414e-21,1.0556e-19,2.5414e-21,9.37742e-29
0.2031821133,2.55005e-21,1.054e-19,2.55005e-21,1.31509e-28
0.2032890512,2.55873e-21,1.05241e-19,2.55873e-21,1.80866e-28
0.2033960455,2.56742e-21,1.05082e-19,2.56742e-21,8.15849e-29
0.203503096,2.57614e-21,1.04923e-19,2.57614e-21,5.63451e-30
0.2036102029,2.58488e-21,1.04765e-19,2.58488e-21,5.6538e-32
0.2037173662,2.59364e-21,1.04607e-19,2.59364e-21,4.73948e-31
0.2038245858,2.60242e-21,1.04449e-19,2.60242e-21,1.73669e-30
0.2039318619,2.61123e-21,1.04292e-19,2.61123e-21,4.99743e-30
0.2040391945,2.62005e-21,1.04134e-19,2.62005e-21,7.94573e-30
0.2041465835,2.6289e-21,1.03977e-19,2.6289e-21,1.53195e-29
0.2042540291,2.63778e-21,1.03821e-19,2.63778e-21,2.10972e-29
0.2043615312,2.64667e-21,1.03664e-19,2.64667e-21,1.90183e-29
0.2044690899,2.65559e-21,1.03508e-19,2.65559e-21,1.46117e-29
0.2045767052,2.66453e-21,1.03352e-19,2.66453e-21,1.20055e-29
0.2046843772,2.67349e-21,1.03197e-19,2.67349e-21,1.4113e-29
0.2047921058,2.68247e-21,1.03041e-19,2.68247e-21,1.73794e-29
0.2048998911,2.69148e-21,1.02886e-19,2.69148e-21,6.55646e-30
0.2050077332,2.70051e-21,1.02732e-19,2.70051e-21,2.26392e-31
0.205115632,2.70956e-21,1.02577e-19,2.70956e-21,1.82828e-31
