wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,5.39341e-22,1.09092e-19,5.39339e-22,2.13248e-27
0.2001052632,5.41377e-22,1.08925e-19,5.41375e-22,1.90965e-27
0.2002105817,5.43706e-22,1.08759e-19,5.43704e-22,1.86873e-27
0.2003159557,5.46042e-22,1.08593e-19,5.46041e-22,1.21047e-27
0.2004213852,5.48386e-22,1.08427e-19,5.48386e-22,3.47669e-28
0.2005268701,5.5074e-22,1.08262e-19,5.50739e-22,2.7127e-28
0.2006324106,5.53101e-22,1.08097e-19,5.53101e-22,3.01202e-28
0.2007380066,5.55471e-22,1.07932e-19,5.55471e-22,2.78849e-28
0.2008436581,5.57849e-22,1.07768e-19,5.57849e-22,2.78957e-28
0.2009493653,5.60235e-22,1.07604e-19,5.60235e-22,2.8302e-28
0.2010551282,5.6263e-22,1.0744e-19,5.6263e-22,3.39985e-28
0.2011609466,5.65033e-22,1.07277e-19,5.65033e-22,4.30334e-28
0.2012668208,5.67445e-22,1.07113e-19,5.67444e-22,5.13088e-28
0.2013727507,5.69864e-22,1.0695e-19,5.69864e-22,6.11011e-28
0.2014787364,5.72293e-22,1.06788e-19,5.72292e-22,7.40728e-28
0.2015847778,5.7473e-22,1.06626e-19,5.74729e-22,9.42933e-28
0.2016908751,5.77175e-22,1.06464e-19,5.77174e-22,1.05081e-27
0.2017970282,5.79628e-22,1.06302e-19,5.79627e-22,8.16633e-28
0.2019032371,5.8209e-22,1.0614e-19,5.82089e-22,6.78366e-28
0.202009502,5.8456e-22,1.05979e-19,5.8456e-22,6.77402e-28
0.2021158228,5.87039e-22,1.05818e-19,5.87039e-22,4.43751e-28
0.2022221995,5.89527e-22,1.05658e-19,5.89526e-22,4.1014e-28
0.2023286323,5.92023e-22,1.05498e-19,5.92022e-22,6.79279e-28
0.202435121,5.94528e-22,1.05338e-19,5.94527e-22,9.16009e-28
0.2025416658,5.97042e-22,1.05178e-19,5.97041e-22,1.16494e-27
0.2026482667,5.99564e-22,1.05019e-19,5.99563e-22,1.33367e-27
0.2027549237,6.02095e-22,1.0486e-19,6.02093e-22,1.49437e-27
0.2028616368,6.04634e-22,1.04701e-19,6.04633e-22,1.79942e-27
0.2029684061,6.07183e-22,1.04542e-19,6.07181e-22,2.15664e-27
0.2030752316,6.0974e-22,1.04384e-19,6.09737e-22,2.64333e-27
0.2031821133,6.12306e-22,1.04226e-19,6.12303e-22,3.00265e-27
0.2032890512,6.1488e-22,1.04069e-19,6.14877e-22,3.39452e-27
0.2033960455,6.17462e-22,1.03911e-19,6.1746e-22,2.43631e-27
0.203503096,6.20052e-22,1.03754e-19,6.20052e-22,6.8752e-28
0.2036102029,6.22653e-22,1.03597e-19,6.22652e-22,4.25687e-28
0.2037173662,6.25262e-22,1.03441e-19,6.25262e-22,6.68919e-28
0.2038245858,6.27881e-22,1.03285e-19,6.2788e-22,8.50121e-28
0.2039318619,6.30508e-22,1.03129e-19,6.30507e-22,1.10664e-27
0.2040391945,6.33144e-22,1.02973e-19,6.33143e-22,1.20704e-27
0.2041465835,6.3579e-22,1.02818e-19,6.35788e-22,1.36886e-27
0.2042540291,6.38444e-22,1.02663e-19,6.38442e-22,1.35616e-27
0.2043615312,6.41106e-22,1.02508e-19,6.41105e-22,1.13597e-27
0.2044690899,6.43778e-22,1.02353e-19,6.43777e-22,9.18556e-28
0.2045767052,6.46459e-22,1.02199e-19,6.46458e-22,8.43576e-28
0.2046843772,6.49149e-22,1.02045e-19,6.49148e-22,8.62479e-28
0.2047921058,6.51848e-22,1.01891e-19,6.51847e-22,8.77553e-28
0.2048998911,6.54555e-22,1.01738e-19,6.54555e-22,7.09174e-28
0.2050077332,6.57272e-22,1.01585e-19,6.57272e-22,4.65214e-28
0.205115632,6.59999e-22,1.01432e-19,6.59998e-22,4.17149e-28
0.2052235876,6.62734e-22,1.01279e-19,6.62733e-22,3.69884e-28
0.2053316,6.65478e-22,1.01127e-19,6.65478e-22,4.31616e-28
0.2054396693,6.68232e-22,1.00975e-19,6.68232e-22,7.09912e-28
0.2055477954,6.70996e-22,1.00823e-19,6.70995e-22,1.02679e-27
0.2056559784,6.73768e-22,1.00672e-19,6.73767e-22,1.32471e-27
0.2057642184,6.7655e-22,1.0052e-19,6.76548e-22,1.71824e-27
0.2058725154,6.79341e-22,1.0037e-19,6.79339e-22,1.92842e-27
0.2059808694,6.82141e-22,1.00219e-19,6.82139e-22,2.17252e-27
0.2060892803,6.8495e-22,1.00068e-19,6.84948e-22,2.71035e-27
0.2061977484,6.87769e-22,9.99183e-20,6.87766e-22,3.30754e-27
0.2063062735,6.90598e-22,9.97684e-20,6.90594e-22,3.73791e-27
0.2064148558,6.93435e-22,9.96188e-20,6.93431e-22,4.26738e-27
0.2065234952,6.96281e-22,9.94695e-20,6.96278e-22,3.47198e-27
0.2066321917,6.99135e-22,9.93204e-20,6.99134e-22,1.21306e-27
0.2067409455,7.02e-22,9.91716e-20,7.01999e-22,6.43098e-28
0.2068497565,7.04875e-22,9.90231e-20,7.04874e-22,6.75106e-28
0.2069586248,7.07759e-22,9.88748e-20,7.07758e-22,1.01696e-27
0.2070675504,7.10654e-22,9.87268e-20,7.10652e-22,1.28747e-27
0.2071765333,7.13557e-22,9.85791e-20,7.13556e-22,1.63815e-27
0.2072855736,7.1647e-22,9.84316e-20,7.16468e-22,2.02994e-27
0.2073946713,7.19393e-22,9.82844e-20,7.19391e-22,2.48078e-27
0.2075038264,7.22326e-22,9.81375e-20,7.22323e-22,3.07893e-27
0.2076130389,7.25268e-22,9.79908e-20,7.25264e-22,3.69525e-27
0.2077223089,7.2822e-22,9.78444e-20,7.28216e-22,4.3913e-27
0.2078316365,7.31181e-22,9.76982e-20,7.31176e-22,4.6533e-27
0.2079410216,7.34152e-22,9.75523e-20,7.34147e-22,4.73631e-27
0.2080504642,7.37132e-22,9.74067e-20,7.37127e-22,4.89628e-27
0.2081599644,7.4012e-22,9.72613e-20,7.40117e-22,3.10426e-27
0.2082695223,7.43117e-22,9.71162e-20,7.43117e-22,8.28159e-28
0.2083791379,7.46126e-22,9.69713e-20,7.46126e-22,4.82378e-28
0.2084888111,7.49146e-22,9.68267e-20,7.49145e-22,6.87243e-28
0.208598542,7.52175e-22,9.66824e-20,7.52174e-22,7.2667e-28
0.2087083307,7.55213e-22,9.65383e-20,7.55213e-22,7.443e-28
0.2088181772,7.58262e-22,9.63945e-20,7.58261e-22,9.25946e-28
0.2089280815,7.61321e-22,9.62509e-20,7.6132e-22,1.24692e-27
0.2090380437,7.64389e-22,9.61076e-20,7.64388e-22,1.63651e-27
0.2091480637,7.67468e-22,9.59645e-20,7.67466e-22,2.07018e-27
0.2092581416,7.70557e-22,9.58217e-20,7.70554e-22,2.59753e-27
0.2093682775,7.73655e-22,9.56791e-20,7.73652e-22,3.16242e-27
0.2094784713,7.76764e-22,9.55368e-20,7.7676e-22,4.02461e-27
0.2095887232,7.79883e-22,9.53947e-20,7.79878e-22,5.22604e-27
0.209699033,7.83012e-22,9.52529e-20,7.83006e-22,5.86024e-27
0.2098094009,7.86149e-22,9.51114e-20,7.86144e-22,5.03381e-27
0.2099198269,7.89294e-22,9.49701e-20,7.89292e-22,1.89146e-27
0.210030311,7.92451e-22,9.4829e-20,7.9245e-22,1.536e-27
0.2101408533,7.95619e-22,9.46882e-20,7.95618e-22,1.15069e-27
0.2102514538,7.98797e-22,9.45477e-20,7.98796e-22,1.13661e-27
0.2103621124,8.01986e-22,9.44073e-20,8.01985e-22,1.67639e-27
0.2104728293,8.05185e-22,9.42673e-20,8.05183e-22,2.23584e-27
0.2105836045,8.08394e-22,9.41275e-20,8.08392e-22,2.6855e-27
0.210694438,8.11614e-22,9.39879e-20,8.11611e-22,3.3954e-27
0.2108053298,8.14844e-22,9.38486e-20,8.1484e-22,3.95571e-27
0.21091628,8.18084e-22,9.37095e-20,8.18079e-22,4.5843e-27
0.2110272885,8.21334e-22,9.35707e-20,8.21329e-22,5.65987e-27
0.2111383555,8.24596e-22,9.34321e-20,8.24588e-22,7.35089e-27
0.211249481,8.27867e-22,9.32938e-20,8.27859e-22,8.51133e-27
0.2113606649,8.31149e-22,9.31557e-20,8.31139e-22,9.59433e-27
0.2114719074,8.34439e-22,9.30178e-20,8.3443e-22,8.98814e-27
0.2115832084,8.37735e-22,9.28802e-20,8.37731e-22,4.38071e-27
0.2116945679,8.41044e-22,9.27428e-20,8.41043e-22,1.43702e-27
0.2118059861,8.44366e-22,9.26057e-20,8.44364e-22,1.54869e-27
0.211917463,8.47699e-22,9.24688e-20,8.47697e-22,1.89989e-27
0.2120289985,8.51042e-22,9.23321e-20,8.5104e-22,2.06756e-27
0.2121405927,8.54395e-22,9.21957e-20,8.54393e-22,2.09149e-27
0.2122522456,8.57759e-22,9.20596e-20,8.57757e-22,2.17523e-27
0.2123639573,8.61134e-22,9.19236e-20,8.61131e-22,2.66765e-27
0.2124757278,8.64519e-22,9.1788e-20,8.64516e-22,3.13845e-27
0.2125875572,8.67914e-22,9.16525e-20,8.67911e-22,3.21501e-27
0.2126994454,8.7132e-22,9.15173e-20,8.71317e-22,3.34325e-27
0.2128113924,8.74738e-22,9.13823e-20,8.74734e-22,4.02403e-27
0.2129233984,8.78166e-22,9.12476e-20,8.78161e-22,5.22822e-27
0.2130354634,8.81605e-22,9.1113e-20,8.81599e-22,6.22918e-27
0.2131475873,8.85053e-22,9.09788e-20,8.85047e-22,5.87612e-27
0.2132597703,8.8851e-22,9.08447e-20,8.88506e-22,3.33813e-27
0.2133720122,8.91978e-22,9.07109e-20,8.91976e-22,2.37854e-27
