wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,1.18047e-20,2.80723e-19,1.18047e-20,9.62385e-27
0.2001052632,1.18359e-20,2.80296e-19,1.18359e-20,1.07749e-26
0.2002105817,1.18734e-20,2.79869e-19,1.18734e-20,1.12575e-26
0.2003159557,1.1911e-20,2.79443e-19,1.1911e-20,6.13151e-27
0.2004213852,1.19487e-20,2.79018e-19,1.19487e-20,5.2319e-28
0.2005268701,1.19865e-20,2.78593e-19,1.19865e-20,4.29986e-28
0.2006324106,1.20243e-20,2.7817e-19,1.20243e-20,8.02096e-28
0.2007380066,1.20623e-20,2.77747e-19,1.20623e-20,9.4603e-28
0.2008436581,1.21003e-20,2.77325e-19,1.21003e-20,1.18629e-27
0.2009493653,1.21384e-20,2.76903e-19,1.21384e-20,1.38484e-27
0.2010551282,1.21766e-20,2.76483e-19,1.21766e-20,2.11577e-27
0.2011609466,1.22149e-20,2.76063e-19,1.22149e-20,3.1309e-27
0.2012668208,1.22533e-20,2.75644e-19,1.22533e-20,3.87607e-27
0.2013727507,1.22918e-20,2.75226e-19,1.22917e-20,4.48921e-27
0.2014787364,1.23303e-20,2.74808e-19,1.23303e-20,5.2965e-27
0.2015847778,1.23689e-20,2.74392e-19,1.23689e-20,6.9792e-27
0.2016908751,1.24077e-20,2.73976e-19,1.24077e-20,7.03417e-27
0.2017970282,1.24465e-20,2.73561e-19,1.24465e-20,3.59746e-27
0.2019032371,1.24854e-20,2.73146e-19,1.24854e-20,2.01741e-27
0.202009502,1.25244e-20,2.72733e-19,1.25244e-20,1.81066e-27
0.2021158228,1.25634e-20,2.7232e-19,1.25634e-20,6.37993e-28
0.2022221995,1.26026e-20,2.71908e-19,1.26026e-20,5.08874e-28
0.2023286323,1.26418e-20,2.71496e-19,1.26418e-20,1.41195e-27
0.202435121,1.26812e-20,2.71086e-19,1.26812e-20,2.41576e-27
0.2025416658,1.27206e-20,2.70676e-19,1.27206e-20,3.60408e-27
0.2026482667,1.27601e-20,2.70267e-19,1.27601e-20,4.42974e-27
0.2027549237,1.27997e-20,2.69858e-19,1.27997e-20,5.22514e-27
0.2028616368,1.28394e-20,2.69451e-19,1.28394e-20,6.97238e-27
0.2029684061,1.28792e-20,2.69044e-19,1.28792e-20,9.12129e-27
0.2030752316,1.2919e-20,2.68638e-19,1.2919e-20,1.23386e-26
0.2031821133,1.2959e-20,2.68232e-19,1.2959e-20,1.4953e-26
0.2032890512,1.2999e-20,2.67828e-19,1.2999e-20,1.81987e-26
0.2033960455,1.30392e-20,2.67424e-19,1.30391e-20,1.11402e-26
0.203503096,1.30794e-20,2.67021e-19,1.30794e-20,1.52609e-27
0.2036102029,1.31197e-20,2.66618e-19,1.31197e-20,4.26933e-28
0.2037173662,1.31601e-20,2.66216e-19,1.31601e-20,1.11843e-27
0.2038245858,1.32005e-20,2.65815e-19,1.32005e-20,1.86824e-27
0.2039318619,1.32411e-20,2.65415e-19,1.32411e-20,3.11606e-27
0.2040391945,1.32818e-20,2.65016e-19,1.32818e-20,3.90745e-27
0.2041465835,1.33225e-20,2.64617e-19,1.33225e-20,5.50737e-27
0.2042540291,1.33633e-20,2.64219e-19,1.33633e-20,6.91436e-27
0.2043615312,1.34043e-20,2.63821e-19,1.34043e-20,7.5063e-27
0.2044690899,1.34453e-20,2.63425e-19,1.34453e-20,7.6044e-27
0.2045767052,1.34864e-20,2.63029e-19,1.34864e-20,7.21475e-27
0.2046843772,1.35276e-20,2.62634e-19,1.35276e-20,7.92536e-27
