wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,9.41826e-26,1.11248e-18,9.41785e-26,4.01024e-30
0.2001052632,9.67938e-26,1.11078e-18,9.67894e-26,4.36594e-30
0.2002105817,1.19122e-25,1.10908e-18,1.19117e-25,5.17842e-30
0.2003159557,1.01763e-25,1.10739e-18,1.0176e-25,3.10471e-30
0.2004213852,9.6754e-26,1.1057e-18,9.67531e-26,8.79265e-31
0.2005268701,1.21811e-25,1.10401e-18,1.21811e-25,8.93271e-31
0.2006324106,8.83102e-26,1.10233e-18,8.83092e-26,9.13303e-31
0.2007380066,8.81085e-26,1.10065e-18,8.81075e-26,9.33729e-31
0.2008436581,1.12647e-25,1.09897e-18,1.12646e-25,1.20047e-30
0.2009493653,9.88765e-26,1.0973e-18,9.88753e-26,1.19219e-30
0.2010551282,1.14526e-25,1.09563e-18,1.14524e-25,1.58695e-30
0.2011609466,9.95244e-26,1.09396e-18,9.95225e-26,1.86135e-30
0.2012668208,1.32713e-25,1.0923e-18,1.32711e-25,2.53259e-30
0.2013727507,1.06393e-25,1.09063e-18,1.06391e-25,2.42994e-30
0.2014787364,1.1623e-25,1.08897e-18,1.16228e-25,2.83787e-30
0.2015847778,1.20222e-25,1.08732e-18,1.20218e-25,3.50336e-30
0.2016908751,1.16671e-25,1.08567e-18,1.16667e-25,3.51161e-30
0.2017970282,1.14409e-25,1.08402e-18,1.14406e-25,2.41467e-30
0.2019032371,1.25947e-25,1.08237e-18,1.25945e-25,1.94497e-30
0.202009502,1.22136e-25,1.08073e-18,1.22134e-25,1.805e-30
0.2021158228,1.06322e-25,1.07909e-18,1.06321e-25,1.0012e-30
0.2022221995,9.76268e-26,1.07745e-18,9.7626e-26,8.33108e-31
0.2023286323,1.01607e-25,1.07581e-18,1.01605e-25,1.3785e-30
0.202435121,1.12453e-25,1.07418e-18,1.12451e-25,1.94282e-30
0.2025416658,1.01663e-25,1.07255e-18,1.01661e-25,2.10046e-30
0.2026482667,4.25264e-26,1.07093e-18,4.25249e-26,1.56608e-30
0.2027549237,1.13097e-25,1.0693e-18,1.13094e-25,2.86067e-30
0.2028616368,1.09307e-25,1.06768e-18,1.09304e-25,3.56054e-30
0.2029684061,1.14517e-25,1.06607e-18,1.14513e-25,4.41309e-30
0.2030752316,1.3347e-25,1.06445e-18,1.33464e-25,6.17264e-30
0.2031821133,1.40323e-25,1.06284e-18,1.40315e-25,7.47799e-30
0.2032890512,1.48103e-25,1.06123e-18,1.48094e-25,8.75247e-30
0.2033960455,1.0527e-25,1.05963e-18,1.05265e-25,4.86497e-30
0.203503096,1.35205e-25,1.05803e-18,1.35203e-25,1.56941e-30
0.2036102029,1.45443e-25,1.05643e-18,1.45442e-25,1.10892e-30
0.2037173662,1.43405e-25,1.05483e-18,1.43404e-25,1.69821e-30
0.2038245858,1.46009e-25,1.05324e-18,1.46007e-25,2.0892e-30
0.2039318619,1.1877e-25,1.05165e-18,1.18768e-25,2.40623e-30
0.2040391945,1.36055e-25,1.05006e-18,1.36052e-25,2.93386e-30
0.2041465835,1.38032e-25,1.04847e-18,1.38028e-25,3.66324e-30
0.2042540291,1.59212e-25,1.04689e-18,1.59207e-25,4.53264e-30
0.2043615312,1.4644e-25,1.04531e-18,1.46436e-25,4.34453e-30
0.2044690899,1.52678e-25,1.04374e-18,1.52674e-25,4.25363e-30
0.2045767052,1.56934e-25,1.04216e-18,1.5693e-25,4.19708e-30
0.2046843772,1.68501e-25,1.04059e-18,1.68497e-25,4.58993e-30
0.2047921058,1.58092e-25,1.03902e-18,1.58087e-25,4.70729e-30
0.2048998911,1.50726e-25,1.03746e-18,1.50723e-25,3.36171e-30
0.2050077332,1.49791e-25,1.0359e-18,1.49789e-25,1.85175e-30
0.205115632,1.57083e-25,1.03434e-18,1.57081e-25,1.60637e-30
0.2052235876,1.61849e-25,1.03278e-18,1.61848e-25,1.35421e-30
0.2053316,1.5967e-25,1.03123e-18,1.59669e-25,1.4685e-30
0.2054396693,1.69201e-25,1.02968e-18,1.69199e-25,2.38656e-30
0.2055477954,1.70878e-25,1.02813e-18,1.70875e-25,3.2888e-30
0.2056559784,1.57968e-25,1.02658e-18,1.57964e-25,3.9001e-30
0.2057642184,1.79249e-25,1.02504e-18,1.79244e-25,5.26773e-30
0.2058725154,1.62875e-25,1.0235e-18,1.62869e-25,5.50543e-30
0.2059808694,1.81033e-25,1.02196e-18,1.81027e-25,6.30103e-30
0.2060892803,1.58069e-25,1.02043e-18,1.58062e-25,7.06899e-30
0.2061977484,1.65748e-25,1.0189e-18,1.6574e-25,8.65363e-30
0.2063062735,1.70631e-25,1.01737e-18,1.70621e-25,9.92154e-30
0.2064148558,1.80617e-25,1.01584e-18,1.80605e-25,1.15605e-29
0.2065234952,1.73597e-25,1.01432e-18,1.73588e-25,8.90647e-30
0.2066321917,1.54696e-25,1.0128e-18,1.54693e-25,2.83589e-30
0.2067409455,1.83249e-25,1.01128e-18,1.83248e-25,1.70945e-30
0.2068497565,1.78009e-25,1.00976e-18,1.78007e-25,1.78855e-30
0.2069586248,1.71048e-25,1.00825e-18,1.71046e-25,2.57994e-30
0.2070675504,1.90563e-25,1.00674e-18,1.90559e-25,3.51214e-30
0.2071765333,2.07504e-25,1.00523e-18,2.07499e-25,4.7413e-30
0.2072855736,1.91839e-25,1.00373e-18,1.91834e-25,5.57764e-30
0.2073946713,2.01551e-25,1.00223e-18,2.01544e-25,6.95928e-30
0.2075038264,1.9783e-25,1.00073e-18,1.97821e-25,8.6309e-30
0.2076130389,2.161e-25,9.99233e-19,2.16089e-25,1.10881e-29
0.2077223089,2.17056e-25,9.97739e-19,2.17043e-25,1.34152e-29
0.2078316365,2.04904e-25,9.96248e-19,2.0489e-25,1.41266e-29
0.2079410216,2.42421e-25,9.94759e-19,2.42405e-25,1.64389e-29
0.2080504642,2.26457e-25,9.93274e-19,2.26439e-25,1.77596e-29
0.2081599644,2.24965e-25,9.9179e-19,2.24953e-25,1.22089e-29
0.2082695223,2.37678e-25,9.9031e-19,2.37674e-25,3.75354e-30
