wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,8.81391e-22,1.08359e-19,8.8139e-22,1.13042e-27
0.2001052632,8.84442e-22,1.08194e-19,8.84441e-22,9.02015e-28
0.2002105817,8.87968e-22,1.08029e-19,8.87967e-22,8.61512e-28
0.2003159557,8.91505e-22,1.07864e-19,8.91504e-22,5.01521e-28
0.2004213852,8.95053e-22,1.07699e-19,8.95053e-22,8.67456e-29
0.2005268701,8.98613e-22,1.07535e-19,8.98613e-22,5.52008e-29
0.2006324106,9.02184e-22,1.07371e-19,9.02184e-22,5.85407e-29
0.2007380066,9.05766e-22,1.07208e-19,9.05766e-22,4.73864e-29
0.2008436581,9.0936e-22,1.07044e-19,9.0936e-22,4.45771e-29
0.2009493653,9.12965e-22,1.06882e-19,9.12965e-22,4.40445e-29
0.2010551282,9.16582e-22,1.06719e-19,9.16581e-22,5.79985e-29
0.2011609466,9.20209e-22,1.06556e-19,9.20209e-22,8.4597e-29
0.2012668208,9.23849e-22,1.06394e-19,9.23849e-22,1.13256e-28
0.2013727507,9.27499e-22,1.06233e-19,9.27499e-22,1.52673e-28
0.2014787364,9.31162e-22,1.06071e-19,9.31161e-22,2.10243e-28
0.2015847778,9.34835e-22,1.0591e-19,9.34835e-22,3.02934e-28
0.2016908751,9.38521e-22,1.05749e-19,9.3852e-22,3.64836e-28
0.2017970282,9.42217e-22,1.05588e-19,9.42217e-22,2.77347e-28
0.2019032371,9.45925e-22,1.05428e-19,9.45925e-22,2.26405e-28
0.202009502,9.49645e-22,1.05268e-19,9.49645e-22,2.3232e-28
0.2021158228,9.53376e-22,1.05108e-19,9.53376e-22,1.32171e-28
0.2022221995,9.57119e-22,1.04949e-19,9.57119e-22,1.20724e-28
0.2023286323,9.60874e-22,1.0479e-19,9.60874e-22,2.48885e-28
0.202435121,9.64641e-22,1.04631e-19,9.6464e-22,3.73686e-28
0.2025416658,9.68419e-22,1.04472e-19,9.68418e-22,5.13647e-28
0.2026482667,9.72209e-22,1.04314e-19,9.72208e-22,6.13308e-28
0.2027549237,9.76011e-22,1.04156e-19,9.7601e-22,7.09832e-28
0.2028616368,9.79824e-22,1.03998e-19,9.79823e-22,8.91504e-28
0.2029684061,9.83649e-22,1.03841e-19,9.83648e-22,1.10639e-27
0.2030752316,9.87487e-22,1.03684e-19,9.87485e-22,1.39963e-27
0.2031821133,9.91335e-22,1.03527e-19,9.91334e-22,1.61261e-27
0.2032890512,9.95196e-22,1.03371e-19,9.95194e-22,1.83677e-27
0.2033960455,9.99068e-22,1.03214e-19,9.99067e-22,1.26854e-27
0.203503096,1.00295e-21,1.03058e-19,1.00295e-21,2.72434e-28
0.2036102029,1.00685e-21,1.02903e-19,1.00685e-21,1.32588e-28
0.2037173662,1.01076e-21,1.02747e-19,1.01076e-21,2.49441e-28
0.2038245858,1.01468e-21,1.02592e-19,1.01468e-21,3.43341e-28
0.2039318619,1.01861e-21,1.02437e-19,1.01861e-21,4.78352e-28
0.2040391945,1.02255e-21,1.02283e-19,1.02255e-21,5.22767e-28
0.2041465835,1.02651e-21,1.02128e-19,1.02651e-21,5.89653e-28
0.2042540291,1.03048e-21,1.01974e-19,1.03048e-21,5.45377e-28
0.2043615312,1.03446e-21,1.01821e-19,1.03446e-21,3.95554e-28
0.2044690899,1.03845e-21,1.01667e-19,1.03845e-21,2.70206e-28
0.2045767052,1.04246e-21,1.01514e-19,1.04246e-21,2.34198e-28
0.2046843772,1.04647e-21,1.01361e-19,1.04647e-21,2.383e-28
0.2047921058,1.0505e-21,1.01208e-19,1.0505e-21,2.38026e-28
0.2048998911,1.05454e-21,1.01056e-19,1.05454e-21,1.81905e-28
0.2050077332,1.0586e-21,1.00904e-19,1.0586e-21,1.06996e-28
0.205115632,1.06266e-21,1.00752e-19,1.06266e-21,9.6069e-29
0.2052235876,1.06674e-21,1.00601e-19,1.06674e-21,8.48987e-29
0.2053316,1.07083e-21,1.00449e-19,1.07083e-21,1.11836e-28
0.2054396693,1.07493e-21,1.00298e-19,1.07493e-21,2.33094e-28
0.2055477954,1.07905e-21,1.00148e-19,1.07905e-21,3.92973e-28
0.2056559784,1.08318e-21,9.99972e-20,1.08318e-21,5.56299e-28
0.2057642184,1.08732e-21,9.9847e-20,1.08732e-21,7.82589e-28
0.2058725154,1.09147e-21,9.96971e-20,1.09147e-21,9.14954e-28
0.2059808694,1.09563e-21,9.95475e-20,1.09563e-21,1.06867e-27
0.2060892803,1.09981e-21,9.93981e-20,1.09981e-21,1.39499e-27
0.2061977484,1.104e-21,9.9249e-20,1.104e-21,1.76353e-27
0.2063062735,1.10821e-21,9.91002e-20,1.1082e-21,2.04048e-27
0.2064148558,1.11242e-21,9.89516e-20,1.11242e-21,2.38294e-27
0.2065234952,1.11665e-21,9.88033e-20,1.11665e-21,1.91448e-27
0.2066321917,1.12089e-21,9.86553e-20,1.12089e-21,5.52039e-28
0.2067409455,1.12514e-21,9.85075e-20,1.12514e-21,2.40454e-28
0.2068497565,1.1294e-21,9.836e-20,1.1294e-21,2.54292e-28
0.2069586248,1.13368e-21,9.82128e-20,1.13368e-21,4.40402e-28
0.2070675504,1.13797e-21,9.80658e-20,1.13797e-21,5.95884e-28
0.2071765333,1.14228e-21,9.79191e-20,1.14227e-21,8.03855e-28
0.2072855736,1.14659e-21,9.77726e-20,1.14659e-21,1.04054e-27
0.2073946713,1.15092e-21,9.76265e-20,1.15092e-21,1.31523e-27
0.2075038264,1.15526e-21,9.74805e-20,1.15526e-21,1.68143e-27
0.2076130389,1.15962e-21,9.73349e-20,1.15962e-21,2.05619e-27
0.2077223089,1.16399e-21,9.71895e-20,1.16398e-21,2.47327e-27
0.2078316365,1.16837e-21,9.70443e-20,1.16836e-21,2.60922e-27
0.2079410216,1.17276e-21,9.68994e-20,1.17276e-21,2.61174e-27
0.2080504642,1.17716e-21,9.67548e-20,1.17716e-21,2.61693e-27
0.2081599644,1.18158e-21,9.66104e-20,1.18158e-21,1.50224e-27
0.2082695223,1.18601e-21,9.64663e-20,1.18601e-21,2.68493e-28
0.2083791379,1.19046e-21,9.63225e-20,1.19046e-21,1.17127e-28
0.2084888111,1.19491e-21,9.61789e-20,1.19491e-21,2.13102e-28
0.208598542,1.19938e-21,9.60355e-20,1.19938e-21,2.27952e-28
0.2087083307,1.20387e-21,9.58924e-20,1.20387e-21,2.20861e-28
0.2088181772,1.20836e-21,9.57496e-20,1.20836e-21,3.00952e-28
0.2089280815,1.21287e-21,9.5607e-20,1.21287e-21,4.54836e-28
0.2090380437,1.2174e-21,9.54647e-20,1.2174e-21,6.62176e-28
0.2091480637,1.22193e-21,9.53226e-20,1.22193e-21,9.00691e-28
0.2092581416,1.22648e-21,9.51808e-20,1.22648e-21,1.21777e-27
0.2093682775,1.23105e-21,9.50392e-20,1.23104e-21,1.56597e-27
0.2094784713,1.23562e-21,9.48979e-20,1.23562e-21,2.08145e-27
0.2095887232,1.24021e-21,9.47568e-20,1.24021e-21,2.84997e-27
0.209699033,1.24481e-21,9.4616e-20,1.24481e-21,3.30482e-27
0.2098094009,1.24943e-21,9.44754e-20,1.24942e-21,2.86244e-27
0.2099198269,1.25405e-21,9.43351e-20,1.25405e-21,9.48256e-28
0.210030311,1.2587e-21,9.4195e-20,1.25869e-21,7.37863e-28
0.2101408533,1.26335e-21,9.40552e-20,1.26335e-21,5.12334e-28
0.2102514538,1.26802e-21,9.39156e-20,1.26802e-21,5.05525e-28
0.2103621124,1.2727e-21,9.37763e-20,1.2727e-21,8.28536e-28
0.2104728293,1.2774e-21,9.36372e-20,1.2774e-21,1.17811e-27
0.2105836045,1.28211e-21,9.34983e-20,1.2821e-21,1.46643e-27
0.210694438,1.28683e-21,9.33597e-20,1.28683e-21,1.92804e-27
0.2108053298,1.29156e-21,9.32214e-20,1.29156e-21,2.29875e-27
0.21091628,1.29631e-21,9.30833e-20,1.29631e-21,2.72015e-27
0.2110272885,1.30108e-21,9.29454e-20,1.30107e-21,3.45142e-27
0.2111383555,1.30585e-21,9.28078e-20,1.30585e-21,4.62587e-27
0.211249481,1.31064e-21,9.26704e-20,1.31064e-21,5.44925e-27
0.2113606649,1.31545e-21,9.25333e-20,1.31544e-21,6.22845e-27
0.2114719074,1.32026e-21,9.23964e-20,1.32026e-21,5.78668e-27
0.2115832084,1.32509e-21,9.22597e-20,1.32509e-21,2.57926e-27
0.2116945679,1.32993e-21,9.21233e-20,1.32993e-21,6.76632e-28
0.2118059861,1.33479e-21,9.19871e-20,1.33479e-21,7.45113e-28
0.211917463,1.33966e-21,9.18512e-20,1.33966e-21,9.51736e-28
0.2120289985,1.34455e-21,9.17155e-20,1.34455e-21,1.03491e-27
0.2121405927,1.34945e-21,9.158e-20,1.34945e-21,1.00112e-27
0.2122522456,1.35436e-21,9.14448e-20,1.35436e-21,9.91793e-28
0.2123639573,1.35929e-21,9.13098e-20,1.35928e-21,1.28708e-27
0.2124757278,1.36423e-21,9.11751e-20,1.36422e-21,1.60753e-27
0.2125875572,1.36918e-21,9.10406e-20,1.36918e-21,1.6059e-27
0.2126994454,1.37415e-21,9.09063e-20,1.37415e-21,1.5895e-27
0.2128113924,1.37913e-21,9.07722e-20,1.37913e-21,1.95189e-27
0.2129233984,1.38413e-21,9.06384e-20,1.38412e-21,2.66926e-27
0.2130354634,1.38914e-21,9.05049e-20,1.38913e-21,3.31643e-27
0.2131475873,1.39416e-21,9.03715e-20,1.39416e-21,3.23223e-27
0.2132597703,1.3992e-21,9.02384e-20,1.39919e-21,1.7887e-27
0.2133720122,1.40425e-21,9.01055e-20,1.40425e-21,1.23142e-27
0.2134843133,1.40931e-21,8.99729e-20,1.40931e-21,1.0409e-27
0.2135966735,1.41439e-21,8.98405e-20,1.41439e-21,1.17107e-27
0.2137090928,1.41949e-21,8.97083e-20,1.41948e-21,1.51869e-27
0.2138215712,1.42459e-21,8.95764e-20,1.42459e-21,1.92139e-27
0.2139341089,1.42972e-21,8.94447e-20,1.42971e-21,2.50362e-27
0.2140467058,1.43485e-21,8.93132e-20,1.43485e-21,2.65394e-27
0.214159362,1.44e-21,8.91819e-20,1.44e-21,2.60254e-27
0.2142720774,1.44517e-21,8.90509e-20,1.44516e-21,3.15417e-27
0.2143848522,1.45035e-21,8.89201e-20,1.45034e-21,4.34654e-27
0.2144976863,1.45554e-21,8.87895e-20,1.45553e-21,5.82023e-27
0.2146105798,1.46075e-21,8.86592e-20,1.46074e-21,6.52228e-27
0.2147235328,1.46597e-21,8.85291e-20,1.46596e-21,7.1832e-27
0.2148365452,1.4712e-21,8.83992e-20,1.4712e-21,8.4936e-27
0.214949617,1.47645e-21,8.82695e-20,1.47645e-21,6.44031e-27
0.2150627484,1.48171e-21,8.81308e-20,1.48171e-21,2.57496e-27
0.2151759393,1.48699e-21,8.79851e-20,1.48699e-21,1.4012e-27
0.2152891898,1.49228e-21,8.78396e-20,1.49228e-21,1.57287e-27
0.2154024999,1.49759e-21,8.76945e-20,1.49759e-21,2.43953e-27
0.2155158697,1.50291e-21,8.75496e-20,1.50291e-21,3.27089e-27
0.2156292991,1.50825e-21,8.7405e-20,1.50824e-21,3.50927e-27
0.2157427882,1.5136e-21,8.72608e-20,1.51359e-21,3.90604e-27
