wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,1.45503e-22,1.77999e-18,1.45501e-22,2.66638e-27
0.2001052632,1.36969e-22,1.77727e-18,1.36967e-22,1.83388e-27
0.2002105817,2.3284e-22,1.77456e-18,2.32838e-22,2.54572e-27
0.2003159557,1.64518e-22,1.77185e-18,1.64516e-22,1.44576e-27
0.2004213852,1.4462e-22,1.76914e-18,1.44619e-22,5.71467e-28
0.2005268701,2.12795e-22,1.76645e-18,2.12794e-22,5.71627e-28
0.2006324106,1.54395e-22,1.76375e-18,1.54395e-22,4.11426e-28
0.2007380066,1.25021e-22,1.76106e-18,1.2502e-22,2.90165e-28
0.2008436581,1.74179e-22,1.75838e-18,1.74179e-22,3.31974e-28
0.2009493653,1.65699e-22,1.7557e-18,1.65699e-22,3.21594e-28
0.2010551282,1.91882e-22,1.75303e-18,1.91882e-22,3.76142e-28
0.2011609466,1.2832e-22,1.75036e-18,1.28319e-22,3.62339e-28
0.2012668208,2.28554e-22,1.7477e-18,2.28553e-22,5.92021e-28
0.2013727507,1.60478e-22,1.74504e-18,1.60477e-22,5.65511e-28
0.2014787364,1.91795e-22,1.74238e-18,1.91794e-22,7.50772e-28
0.2015847778,2.046e-22,1.73974e-18,2.04599e-22,9.93728e-28
0.2016908751,2.07751e-22,1.73709e-18,2.0775e-22,1.14051e-27
0.2017970282,1.59529e-22,1.73445e-18,1.59528e-22,9.56528e-28
0.2019032371,2.1285e-22,1.73182e-18,2.12849e-22,1.09585e-27
0.202009502,2.04692e-22,1.72919e-18,2.04691e-22,1.12241e-27
0.2021158228,1.64856e-22,1.72656e-18,1.64855e-22,7.68985e-28
0.2022221995,1.36433e-22,1.72394e-18,1.36432e-22,6.39007e-28
0.2023286323,1.43438e-22,1.72133e-18,1.43437e-22,9.3679e-28
0.202435121,1.742e-22,1.71872e-18,1.74199e-22,1.33699e-27
0.2025416658,1.64333e-22,1.71611e-18,1.64332e-22,1.45868e-27
0.2026482667,7.2198e-23,1.71351e-18,7.21969e-23,1.11127e-27
0.2027549237,1.83668e-22,1.71091e-18,1.83666e-22,1.97435e-27
0.2028616368,1.61717e-22,1.70832e-18,1.61715e-22,2.18891e-27
0.2029684061,1.5575e-22,1.70573e-18,1.55748e-22,2.4563e-27
0.2030752316,2.06397e-22,1.70315e-18,2.06393e-22,3.6801e-27
0.2031821133,2.50013e-22,1.70057e-18,2.50008e-22,4.75398e-27
0.2032890512,2.41434e-22,1.698e-18,2.41429e-22,4.93371e-27
0.2033960455,1.55969e-22,1.69543e-18,1.55967e-22,2.8174e-27
0.203503096,2.13274e-22,1.69287e-18,2.13272e-22,1.35531e-27
0.2036102029,2.48536e-22,1.69031e-18,2.48535e-22,1.20109e-27
0.2037173662,2.30715e-22,1.68776e-18,2.30713e-22,1.50338e-27
0.2038245858,2.19032e-22,1.6852e-18,2.19031e-22,1.57801e-27
0.2039318619,1.72234e-22,1.68266e-18,1.72233e-22,1.58045e-27
0.2040391945,2.14207e-22,1.68012e-18,2.14205e-22,1.80759e-27
0.2041465835,2.03225e-22,1.67758e-18,2.03224e-22,1.81066e-27
0.2042540291,2.72988e-22,1.67505e-18,2.72987e-22,1.91265e-27
0.2043615312,2.34146e-22,1.67253e-18,2.34145e-22,1.29413e-27
0.2044690899,2.51151e-22,1.67e-18,2.5115e-22,9.77172e-28
0.2045767052,2.65058e-22,1.66749e-18,2.65057e-22,9.46236e-28
0.2046843772,3.0478e-22,1.66497e-18,3.04779e-22,1.02214e-27
0.2047921058,2.72419e-22,1.66246e-18,2.72418e-22,9.18539e-28
0.2048998911,2.38106e-22,1.65996e-18,2.38105e-22,7.47737e-28
0.2050077332,2.25222e-22,1.65746e-18,2.25221e-22,6.2888e-28
0.205115632,2.34043e-22,1.65496e-18,2.34043e-22,6.71415e-28
0.2052235876,2.71089e-22,1.65247e-18,2.71089e-22,7.63456e-28
0.2053316,2.48767e-22,1.64999e-18,2.48766e-22,8.55512e-28
0.2054396693,2.69599e-22,1.64751e-18,2.69598e-22,1.25083e-27
0.2055477954,2.47245e-22,1.64503e-18,2.47244e-22,1.54138e-27
0.2056559784,2.24903e-22,1.64256e-18,2.24901e-22,1.81625e-27
0.2057642184,2.80035e-22,1.64009e-18,2.80032e-22,2.62502e-27
0.2058725154,2.37297e-22,1.63762e-18,2.37295e-22,2.84337e-27
0.2059808694,3.04116e-22,1.63517e-18,3.04112e-22,3.66479e-27
0.2060892803,2.53437e-22,1.63271e-18,2.53433e-22,3.89226e-27
0.2061977484,2.24374e-22,1.63026e-18,2.2437e-22,4.13492e-27
0.2063062735,2.34407e-22,1.62781e-18,2.34402e-22,4.87341e-27
0.2064148558,2.76778e-22,1.62537e-18,2.76772e-22,6.34303e-27
0.2065234952,2.8367e-22,1.62293e-18,2.83664e-22,5.62728e-27
0.2066321917,2.06716e-22,1.6205e-18,2.06713e-22,2.08347e-27
0.2067409455,2.85222e-22,1.61807e-18,2.8522e-22,1.58813e-27
0.2068497565,2.59106e-22,1.61565e-18,2.59104e-22,1.61507e-27
0.2069586248,2.58354e-22,1.61323e-18,2.58352e-22,2.17878e-27
0.2070675504,3.14778e-22,1.61081e-18,3.14775e-22,3.0345e-27
0.2071765333,3.60411e-22,1.6084e-18,3.60407e-22,4.0449e-27
0.2072855736,3.11234e-22,1.60599e-18,3.1123e-22,4.31547e-27
0.2073946713,3.25572e-22,1.60359e-18,3.25567e-22,5.05772e-27
0.2075038264,3.11231e-22,1.60119e-18,3.11225e-22,5.82341e-27
0.2076130389,3.50715e-22,1.5988e-18,3.50708e-22,7.24496e-27
0.2077223089,3.69894e-22,1.59641e-18,3.69885e-22,8.42593e-27
0.2078316365,3.20972e-22,1.59402e-18,3.20964e-22,7.9132e-27
0.2079410216,4.12063e-22,1.59164e-18,4.12055e-22,8.73262e-27
0.2080504642,3.81655e-22,1.58927e-18,3.81647e-22,7.80814e-27
0.2081599644,3.42486e-22,1.58689e-18,3.42481e-22,4.42824e-27
0.2082695223,4.06907e-22,1.58452e-18,4.06906e-22,1.71433e-27
0.2083791379,3.75383e-22,1.58216e-18,3.75382e-22,1.04994e-27
0.2084888111,2.5356e-22,1.5798e-18,2.53559e-22,1.13032e-27
0.208598542,3.48693e-22,1.57744e-18,3.48691e-22,1.40737e-27
0.2087083307,4.62875e-22,1.57509e-18,4.62873e-22,1.57882e-27
0.2088181772,3.55813e-22,1.57274e-18,3.55812e-22,1.54985e-27
0.2089280815,3.66646e-22,1.5704e-18,3.66644e-22,1.96751e-27
0.2090380437,4.62003e-22,1.56806e-18,4.62e-22,2.93325e-27
0.2091480637,3.81047e-22,1.56572e-18,3.81044e-22,3.19855e-27
0.2092581416,3.83306e-22,1.56339e-18,3.83302e-22,4.25574e-27
0.2093682775,5.96836e-22,1.56107e-18,5.96829e-22,6.9626e-27
0.2094784713,3.89783e-22,1.55874e-18,3.89776e-22,6.69989e-27
0.2095887232,4.7417e-22,1.55643e-18,4.7416e-22,9.95118e-27
0.209699033,5.22833e-22,1.55411e-18,5.22818e-22,1.50358e-26
0.2098094009,1.0534e-21,1.55181e-18,1.05338e-21,2.27574e-26
0.2099198269,7.59831e-22,1.5495e-18,7.59822e-22,9.00274e-27
0.210030311,5.51918e-22,1.54719e-18,5.51912e-22,6.16196e-27
0.2101408533,6.78146e-22,1.5449e-18,6.78139e-22,6.71022e-27
0.2102514538,2.19556e-21,1.54264e-18,2.19555e-21,1.41222e-26
0.2103621124,5.11124e-22,1.54031e-18,5.11116e-22,7.97916e-27
0.2104728293,1.43819e-21,1.53804e-18,1.43817e-21,1.8662e-26
0.2105836045,1.92347e-21,1.53577e-18,1.92344e-21,2.60426e-26
0.210694438,6.54194e-22,1.53346e-18,6.54177e-22,1.62897e-26
0.2108053298,1.3437e-21,1.53121e-18,1.34368e-21,2.49475e-26
0.21091628,3.11996e-22,1.52891e-18,3.11981e-22,1.50977e-26
0.2110272885,1.10293e-21,1.52666e-18,1.1029e-21,3.15024e-26
0.2111383555,1.26629e-21,1.5244e-18,1.26624e-21,5.35879e-26
0.211249481,2.57995e-21,1.52218e-18,2.57985e-21,1.00955e-25
0.2113606649,1.01942e-21,1.51989e-18,1.01936e-21,5.83528e-26
0.2114719074,1.14834e-21,1.51764e-18,1.1483e-21,4.81749e-26
0.2115832084,8.03452e-22,1.51539e-18,8.0343e-22,2.13198e-26
0.2116945679,1.9831e-21,1.51317e-18,1.98308e-21,1.73659e-26
0.2118059861,2.39871e-21,1.51094e-18,2.39869e-21,1.93556e-26
0.211917463,8.35062e-22,1.50867e-18,8.35049e-22,1.24872e-26
0.2120289985,2.38508e-21,1.50647e-18,2.38506e-21,2.38153e-26
0.2121405927,2.42934e-21,1.50425e-18,2.42932e-21,2.0735e-26
0.2122522456,1.09157e-21,1.502e-18,1.09156e-21,9.78794e-27
0.2123639573,3.38297e-22,1.49976e-18,3.38293e-22,4.13114e-27
0.2124757278,1.70555e-22,1.49754e-18,1.70552e-22,2.77071e-27
0.2125875572,6.10765e-22,1.49534e-18,6.10757e-22,7.54451e-27
0.2126994454,1.50425e-21,1.49315e-18,1.50424e-21,1.38512e-26
0.2128113924,1.25814e-21,1.49094e-18,1.25812e-21,1.59835e-26
0.2129233984,1.98487e-21,1.48876e-18,1.98485e-21,2.64664e-26
0.2130354634,7.68893e-22,1.48654e-18,7.68872e-22,2.08881e-26
0.2131475873,1.82823e-21,1.48437e-18,1.8282e-21,3.33003e-26
0.2132597703,1.67242e-21,1.48218e-18,1.67239e-21,2.43169e-26
0.2133720122,1.83039e-21,1.48e-18,1.83036e-21,2.04691e-26
0.2134843133,7.83013e-22,1.47779e-18,7.83003e-22,1.01137e-26
0.2135966735,1.14971e-21,1.47562e-18,1.1497e-21,1.43156e-26
0.2137090928,1.83078e-21,1.47347e-18,1.83075e-21,2.53758e-26
0.2138215712,1.90744e-21,1.4713e-18,1.90741e-21,2.98972e-26
0.2139341089,6.83054e-22,1.46911e-18,6.83035e-22,1.89472e-26
0.2140467058,9.4421e-22,1.46695e-18,9.44186e-22,2.41007e-26
0.214159362,2.5478e-21,1.46483e-18,2.54775e-21,4.92372e-26
0.2142720774,1.8291e-21,1.46266e-18,1.82905e-21,4.97741e-26
0.2143848522,2.74328e-21,1.46053e-18,2.7432e-21,8.59558e-26
0.2144976863,2.53703e-21,1.45838e-18,2.53693e-21,1.009e-25
0.2146105798,1.41465e-21,1.45621e-18,1.41459e-21,6.93238e-26
0.2147235328,1.23052e-21,1.45407e-18,1.23045e-21,6.58179e-26
0.2148365452,1.85827e-21,1.45194e-18,1.85817e-21,1.02164e-25
0.214949617,1.87197e-21,1.44981e-18,1.87189e-21,8.42051e-26
0.2150627484,1.80084e-21,1.44753e-18,1.8008e-21,3.64614e-26
