wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,2.14681e-20,3.30125e-18,2.14678e-20,3.12388e-25
0.2001052632,2.15533e-20,3.29621e-18,2.15531e-20,2.05178e-25
0.2002105817,2.16504e-20,3.29119e-18,2.16502e-20,1.91829e-25
0.2003159557,2.17477e-20,3.28617e-18,2.17476e-20,1.38268e-25
0.2004213852,2.18454e-20,3.28116e-18,2.18453e-20,6.78647e-26
0.2005268701,2.19435e-20,3.27615e-18,2.19435e-20,5.19722e-26
0.2006324106,2.2042e-20,3.27116e-18,2.2042e-20,4.54015e-26
0.2007380066,2.21409e-20,3.26618e-18,2.21409e-20,3.77585e-26
0.2008436581,2.22402e-20,3.26121e-18,2.22402e-20,3.43691e-26
0.2009493653,2.23399e-20,3.25624e-18,2.23398e-20,3.2892e-26
0.2010551282,2.24399e-20,3.25129e-18,2.24399e-20,3.52475e-26
0.2011609466,2.25403e-20,3.24634e-18,2.25403e-20,4.07609e-26
0.2012668208,2.26411e-20,3.2414e-18,2.26411e-20,4.69458e-26
0.2013727507,2.27423e-20,3.23647e-18,2.27423e-20,5.56387e-26
0.2014787364,2.28439e-20,3.23155e-18,2.28439e-20,6.7279e-26
0.2015847778,2.29459e-20,3.22664e-18,2.29458e-20,8.30897e-26
0.2016908751,2.30483e-20,3.22174e-18,2.30482e-20,9.72754e-26
0.2017970282,2.3151e-20,3.21685e-18,2.31509e-20,9.68242e-26
0.2019032371,2.32541e-20,3.21197e-18,2.3254e-20,9.83825e-26
0.202009502,2.33577e-20,3.20709e-18,2.33576e-20,1.05112e-25
0.2021158228,2.34616e-20,3.20223e-18,2.34615e-20,9.1432e-26
0.2022221995,2.35659e-20,3.19737e-18,2.35658e-20,9.18416e-26
0.2023286323,2.36706e-20,3.19252e-18,2.36705e-20,1.246e-25
0.202435121,2.37758e-20,3.18768e-18,2.37756e-20,1.52492e-25
0.2025416658,2.38813e-20,3.18285e-18,2.38811e-20,1.82072e-25
0.2026482667,2.39872e-20,3.17803e-18,2.3987e-20,2.03587e-25
0.2027549237,2.40935e-20,3.17322e-18,2.40933e-20,2.24389e-25
0.2028616368,2.42003e-20,3.16842e-18,2.42e-20,2.57207e-25
0.2029684061,2.43074e-20,3.16362e-18,2.43071e-20,2.94159e-25
0.2030752316,2.4415e-20,3.15884e-18,2.44146e-20,3.3892e-25
0.2031821133,2.45229e-20,3.15406e-18,2.45225e-20,3.6672e-25
0.2032890512,2.46312e-20,3.14929e-18,2.46308e-20,3.89238e-25
0.2033960455,2.47399e-20,3.14453e-18,2.47396e-20,3.14233e-25
0.203503096,2.48489e-20,3.13978e-18,2.48487e-20,1.38737e-25
0.2036102029,2.49584e-20,3.13503e-18,2.49583e-20,1.0793e-25
0.2037173662,2.50684e-20,3.1303e-18,2.50682e-20,1.38501e-25
0.2038245858,2.51787e-20,3.12557e-18,2.51786e-20,1.56699e-25
0.2039318619,2.52895e-20,3.12086e-18,2.52894e-20,1.79263e-25
0.2040391945,2.54007e-20,3.11615e-18,2.54006e-20,1.77668e-25
0.2041465835,2.55123e-20,3.11145e-18,2.55122e-20,1.72023e-25
0.2042540291,2.56243e-20,3.10676e-18,2.56242e-20,1.42835e-25
0.2043615312,2.57368e-20,3.10207e-18,2.57367e-20,1.02578e-25
0.2044690899,2.58496e-20,3.0974e-18,2.58495e-20,7.43428e-26
0.2045767052,2.59629e-20,3.09273e-18,2.59628e-20,6.76273e-26
0.2046843772,2.60766e-20,3.08807e-18,2.60765e-20,6.6921e-26
0.2047921058,2.61907e-20,3.08342e-18,2.61907e-20,6.46233e-26
0.2048998911,2.63053e-20,3.07878e-18,2.63052e-20,6.08301e-26
0.2050077332,2.64203e-20,3.07415e-18,2.64202e-20,5.72075e-26
0.205115632,2.65357e-20,3.06953e-18,2.65356e-20,5.99644e-26
0.2052235876,2.66515e-20,3.06491e-18,2.66515e-20,6.31121e-26
0.2053316,2.67678e-20,3.0603e-18,2.67677e-20,7.4102e-26
0.2054396693,2.68845e-20,3.0557e-18,2.68844e-20,1.01517e-25
0.2055477954,2.70017e-20,3.05111e-18,2.70016e-20,1.32992e-25
0.2056559784,2.71193e-20,3.04653e-18,2.71191e-20,1.65104e-25
0.2057642184,2.72373e-20,3.04195e-18,2.72371e-20,2.0643e-25
0.2058725154,2.73558e-20,3.03739e-18,2.73556e-20,2.35617e-25
0.2059808694,2.74747e-20,3.03283e-18,2.74744e-20,2.67564e-25
0.2060892803,2.75941e-20,3.02828e-18,2.75937e-20,3.21425e-25
0.2061977484,2.77139e-20,3.02374e-18,2.77135e-20,3.80553e-25
0.2063062735,2.78341e-20,3.01921e-18,2.78337e-20,4.28448e-25
0.2064148558,2.79548e-20,3.01468e-18,2.79543e-20,4.85225e-25
0.2065234952,2.80758e-20,3.01016e-18,2.80754e-20,4.35872e-25
0.2066321917,2.81971e-20,3.00565e-18,2.81969e-20,2.20309e-25
0.2067409455,2.8319e-20,3.00115e-18,2.83189e-20,1.46295e-25
0.2068497565,2.84415e-20,2.99666e-18,2.84413e-20,1.52491e-25
0.2069586248,2.85644e-20,2.99217e-18,2.85642e-20,1.98388e-25
0.2070675504,2.86877e-20,2.9877e-18,2.86875e-20,2.31904e-25
0.2071765333,2.88115e-20,2.98323e-18,2.88113e-20,2.72999e-25
0.2072855736,2.89358e-20,2.97877e-18,2.89355e-20,3.15467e-25
0.2073946713,2.90605e-20,2.97431e-18,2.90601e-20,3.60983e-25
0.2075038264,2.91857e-20,2.96987e-18,2.91853e-20,4.15309e-25
0.2076130389,2.93113e-20,2.96543e-18,2.93109e-20,4.62728e-25
0.2077223089,2.94374e-20,2.961e-18,2.94369e-20,5.07411e-25
0.2078316365,2.95639e-20,2.95658e-18,2.95634e-20,5.07538e-25
0.2079410216,2.96908e-20,2.95217e-18,2.96904e-20,4.80119e-25
