wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,1.02836e-20,3.00617e-18,1.02836e-20,9.80363e-27
0.2001052632,1.03285e-20,3.00158e-18,1.03285e-20,6.71763e-27
0.2002105817,1.0379e-20,2.997e-18,1.0379e-20,6.23455e-27
0.2003159557,1.04297e-20,2.99242e-18,1.04297e-20,3.1538e-27
0.2004213852,1.04806e-20,2.98786e-18,1.04806e-20,2.64435e-28
0.2005268701,1.05318e-20,2.9833e-18,1.05318e-20,1.28253e-28
0.2006324106,1.05832e-20,2.97876e-18,1.05832e-20,1.24718e-28
0.2007380066,1.06348e-20,2.97422e-18,1.06348e-20,8.18263e-29
0.2008436581,1.06866e-20,2.96969e-18,1.06866e-20,6.94054e-29
0.2009493653,1.07386e-20,2.96517e-18,1.07386e-20,6.54283e-29
0.2010551282,1.07908e-20,2.96065e-18,1.07908e-20,9.70377e-29
0.2011609466,1.08433e-20,2.95615e-18,1.08433e-20,1.72441e-28
0.2012668208,1.0896e-20,2.95165e-18,1.0896e-20,2.73241e-28
0.2013727507,1.09489e-20,2.94716e-18,1.09489e-20,4.44626e-28
0.2014787364,1.1002e-20,2.94268e-18,1.1002e-20,7.47302e-28
0.2015847778,1.10554e-20,2.93821e-18,1.10554e-20,1.29975e-27
0.2016908751,1.1109e-20,2.93374e-18,1.1109e-20,1.761e-27
0.2017970282,1.11628e-20,2.92929e-18,1.11628e-20,1.29893e-27
0.2019032371,1.12168e-20,2.92484e-18,1.12168e-20,1.04187e-27
0.202009502,1.1271e-20,2.9204e-18,1.1271e-20,1.11739e-27
0.2021158228,1.13255e-20,2.91597e-18,1.13255e-20,5.33667e-28
0.2022221995,1.13802e-20,2.91154e-18,1.13802e-20,4.8798e-28
0.2023286323,1.14352e-20,2.90713e-18,1.14352e-20,1.33364e-27
0.202435121,1.14904e-20,2.90272e-18,1.14903e-20,2.30607e-27
0.2025416658,1.15458e-20,2.89832e-18,1.15458e-20,3.5198e-27
0.2026482667,1.16014e-20,2.89393e-18,1.16014e-20,4.45167e-27
0.2027549237,1.16573e-20,2.88955e-18,1.16572e-20,5.37926e-27
0.2028616368,1.17134e-20,2.88517e-18,1.17133e-20,7.14094e-27
0.2029684061,1.17697e-20,2.8808e-18,1.17697e-20,9.26419e-27
0.2030752316,1.18263e-20,2.87644e-18,1.18262e-20,1.21896e-26
0.2031821133,1.18831e-20,2.87209e-18,1.1883e-20,1.42883e-26
0.2032890512,1.19401e-20,2.86775e-18,1.19401e-20,1.64245e-26
0.2033960455,1.19974e-20,2.86341e-18,1.19974e-20,1.08443e-26
0.203503096,1.20549e-20,2.85908e-18,1.20549e-20,1.73481e-27
0.2036102029,1.21126e-20,2.85476e-18,1.21126e-20,5.89984e-28
0.2037173662,1.21706e-20,2.85045e-18,1.21706e-20,1.38446e-27
0.2038245858,1.22288e-20,2.84615e-18,1.22288e-20,2.1167e-27
0.2039318619,1.22873e-20,2.84185e-18,1.22873e-20,3.21087e-27
0.2040391945,1.2346e-20,2.83756e-18,1.2346e-20,3.51117e-27
0.2041465835,1.2405e-20,2.83328e-18,1.2405e-20,3.92744e-27
0.2042540291,1.24642e-20,2.82901e-18,1.24642e-20,3.30386e-27
0.2043615312,1.25236e-20,2.82474e-18,1.25236e-20,1.95293e-27
0.2044690899,1.25833e-20,2.82048e-18,1.25833e-20,1.02336e-27
0.2045767052,1.26432e-20,2.81623e-18,1.26432e-20,8.09828e-28
0.2046843772,1.27034e-20,2.81199e-18,1.27034e-20,8.18586e-28
0.2047921058,1.27639e-20,2.80775e-18,1.27639e-20,7.94791e-28
0.2048998911,1.28245e-20,2.80353e-18,1.28245e-20,5.58928e-28
0.2050077332,1.28855e-20,2.79931e-18,1.28855e-20,2.8609e-28
0.205115632,1.29466e-20,2.79509e-18,1.29466e-20,2.62786e-28
0.2052235876,1.30081e-20,2.79089e-18,1.30081e-20,2.36563e-28
0.2053316,1.30697e-20,2.78669e-18,1.30697e-20,3.71219e-28
0.2054396693,1.31317e-20,2.7825e-18,1.31317e-20,1.06472e-27
0.2055477954,1.31939e-20,2.77832e-18,1.31939e-20,2.22987e-27
0.2056559784,1.32563e-20,2.77415e-18,1.32563e-20,3.59067e-27
0.2057642184,1.3319e-20,2.76998e-18,1.3319e-20,5.65655e-27
0.2058725154,1.33819e-20,2.76582e-18,1.33819e-20,6.9844e-27
0.2059808694,1.34451e-20,2.76167e-18,1.34451e-20,8.54985e-27
0.2060892803,1.35086e-20,2.75752e-18,1.35086e-20,1.18183e-26
0.2061977484,1.35723e-20,2.75339e-18,1.35723e-20,1.55809e-26
0.2063062735,1.36363e-20,2.74926e-18,1.36363e-20,1.85071e-26
0.2064148558,1.37006e-20,2.74513e-18,1.37005e-20,2.21337e-26
0.2065234952,1.37651e-20,2.74102e-18,1.3765e-20,1.75549e-26
0.2066321917,1.38298e-20,2.73691e-18,1.38298e-20,4.01221e-27
0.2067409455,1.38948e-20,2.73281e-18,1.38948e-20,1.39235e-27
0.2068497565,1.39601e-20,2.72872e-18,1.39601e-20,1.45835e-27
0.2069586248,1.40257e-20,2.72463e-18,1.40257e-20,3.00598e-27
