wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,5.11334e-25,7.47433e-19,5.1126e-25,7.44689e-29
0.2001052632,5.24894e-25,7.46292e-19,5.24829e-25,6.51142e-29
0.2002105817,6.45229e-25,7.45152e-19,6.45156e-25,7.30027e-29
0.2003159557,5.5056e-25,7.44015e-19,5.50514e-25,4.56812e-29
0.2004213852,5.22841e-25,7.4288e-19,5.22824e-25,1.70678e-29
0.2005268701,6.57487e-25,7.41747e-19,6.57471e-25,1.58444e-29
0.2006324106,4.76114e-25,7.40616e-19,4.76101e-25,1.2926e-29
0.2007380066,4.7448e-25,7.39487e-19,4.74468e-25,1.12833e-29
0.2008436581,6.05928e-25,7.38361e-19,6.05916e-25,1.2899e-29
0.2009493653,5.31246e-25,7.37236e-19,5.31234e-25,1.1936e-29
0.2010551282,6.14622e-25,7.36113e-19,6.14608e-25,1.46645e-29
0.2011609466,5.33504e-25,7.34993e-19,5.33487e-25,1.66119e-29
0.2012668208,7.106e-25,7.33874e-19,7.10577e-25,2.29212e-29
0.2013727507,5.69023e-25,7.32758e-19,5.68999e-25,2.31401e-29
0.2014787364,6.20927e-25,7.31643e-19,6.20899e-25,2.85569e-29
0.2015847778,6.4152e-25,7.30531e-19,6.41484e-25,3.61109e-29
0.2016908751,6.21863e-25,7.29421e-19,6.21824e-25,3.9467e-29
0.2017970282,6.09112e-25,7.28312e-19,6.09078e-25,3.38835e-29
0.2019032371,6.69778e-25,7.27206e-19,6.69745e-25,3.24301e-29
0.202009502,6.48769e-25,7.26102e-19,6.48737e-25,3.19751e-29
0.2021158228,5.6412e-25,7.24999e-19,5.64099e-25,2.12195e-29
0.2022221995,5.17396e-25,7.23899e-19,5.17377e-25,1.86716e-29
0.2023286323,5.3788e-25,7.22801e-19,5.37852e-25,2.82045e-29
0.202435121,5.94626e-25,7.21704e-19,5.94588e-25,3.81194e-29
0.2025416658,5.36964e-25,7.2061e-19,5.36924e-25,4.01657e-29
0.2026482667,2.2437e-25,7.19518e-19,2.24341e-25,2.97447e-29
0.2027549237,5.96006e-25,7.18428e-19,5.95952e-25,5.41e-29
0.2028616368,5.7539e-25,7.17339e-19,5.75324e-25,6.57144e-29
0.2029684061,6.02139e-25,7.16253e-19,6.02059e-25,7.95034e-29
0.2030752316,7.01006e-25,7.15168e-19,7.00898e-25,1.07336e-28
0.2031821133,7.3617e-25,7.14086e-19,7.36044e-25,1.26057e-28
0.2032890512,7.76112e-25,7.13006e-19,7.7597e-25,1.41289e-28
0.2033960455,5.51019e-25,7.11927e-19,5.50934e-25,8.43606e-29
0.203503096,7.06857e-25,7.10851e-19,7.06823e-25,3.45306e-29
0.2036102029,7.59518e-25,7.09776e-19,7.5949e-25,2.72931e-29
0.2037173662,7.48035e-25,7.08703e-19,7.47997e-25,3.77344e-29
0.2038245858,7.6076e-25,7.07633e-19,7.60717e-25,4.36154e-29
0.2039318619,6.18145e-25,7.06564e-19,6.18099e-25,4.66689e-29
0.2040391945,7.07303e-25,7.05497e-19,7.0725e-25,5.30915e-29
0.2041465835,7.16771e-25,7.04432e-19,7.16712e-25,5.88985e-29
0.2042540291,8.25815e-25,7.03369e-19,8.25754e-25,6.13496e-29
0.2043615312,7.58703e-25,7.02308e-19,7.58656e-25,4.73392e-29
0.2044690899,7.9012e-25,7.01249e-19,7.90082e-25,3.81972e-29
0.2045767052,8.1123e-25,7.00192e-19,8.11194e-25,3.62851e-29
0.2046843772,8.70043e-25,6.99137e-19,8.70005e-25,3.80242e-29
0.2047921058,8.15375e-25,6.98083e-19,8.15339e-25,3.6216e-29
0.2048998911,7.76513e-25,6.97032e-19,7.76483e-25,3.0084e-29
0.2050077332,7.70827e-25,6.95982e-19,7.70804e-25,2.32186e-29
0.205115632,8.07448e-25,6.94934e-19,8.07424e-25,2.30793e-29
0.2052235876,8.31012e-25,6.93889e-19,8.3099e-25,2.24598e-29
0.2053316,8.18907e-25,6.92845e-19,8.18882e-25,2.5528e-29
0.2054396693,8.66824e-25,6.91802e-19,8.66785e-25,3.87162e-29
0.2055477954,8.74442e-25,6.90762e-19,8.7439e-25,5.18282e-29
0.2056559784,8.07482e-25,6.89724e-19,8.07421e-25,6.14762e-29
0.2057642184,9.15248e-25,6.88687e-19,9.15165e-25,8.28028e-29
0.2058725154,8.3072e-25,6.87653e-19,8.30631e-25,8.86954e-29
0.2059808694,9.22305e-25,6.8662e-19,9.22202e-25,1.03152e-28
0.2060892803,8.04428e-25,6.85589e-19,8.04314e-25,1.1398e-28
0.2061977484,8.42576e-25,6.8456e-19,8.42439e-25,1.37751e-28
0.2063062735,8.66442e-25,6.83533e-19,8.66284e-25,1.58373e-28
0.2064148558,9.16135e-25,6.82508e-19,9.15951e-25,1.84365e-28
0.2065234952,8.79532e-25,6.81484e-19,8.79381e-25,1.51123e-28
0.2066321917,7.82847e-25,6.80462e-19,7.82787e-25,5.92599e-29
0.2067409455,9.26287e-25,6.79442e-19,9.26247e-25,3.98049e-29
0.2068497565,8.988e-25,6.78424e-19,8.98759e-25,4.14888e-29
0.2069586248,8.62703e-25,6.77408e-19,8.62648e-25,5.5638e-29
0.2070675504,9.60065e-25,6.76394e-19,9.59992e-25,7.27332e-29
0.2071765333,1.04426e-24,6.75381e-19,1.04417e-24,9.43206e-29
0.2072855736,9.64374e-25,6.7437e-19,9.64267e-25,1.06867e-28
0.2073946713,1.01208e-24,6.73361e-19,1.01195e-24,1.28575e-28
0.2075038264,9.92309e-25,6.72354e-19,9.92157e-25,1.52637e-28
0.2076130389,1.08276e-24,6.71349e-19,1.08258e-24,1.87317e-28
0.2077223089,1.08636e-24,6.70345e-19,1.08615e-24,2.15318e-28
0.2078316365,1.02441e-24,6.69343e-19,1.02419e-24,2.17423e-28
0.2079410216,1.21062e-24,6.68343e-19,1.21038e-24,2.38403e-28
0.2080504642,1.12964e-24,6.67345e-19,1.12941e-24,2.30018e-28
0.2081599644,1.1209e-24,6.66349e-19,1.12075e-24,1.48761e-28
