wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,6.68367e-23,7.4076e-19,6.6836e-23,7.49744e-28
0.2001052632,6.28504e-23,7.39629e-19,6.28498e-23,6.63138e-28
0.2002105817,1.0673e-22,7.38501e-19,1.0673e-22,9.5499e-28
0.2003159557,7.53332e-23,7.37373e-19,7.53327e-23,5.00457e-28
0.2004213852,6.6152e-23,7.36248e-19,6.61519e-23,1.23298e-28
0.2005268701,9.72344e-23,7.35126e-19,9.72343e-23,1.24638e-28
0.2006324106,7.04751e-23,7.34004e-19,7.0475e-23,1.0901e-28
0.2007380066,5.70068e-23,7.32885e-19,5.70068e-23,8.4274e-29
0.2008436581,7.93386e-23,7.31769e-19,7.93385e-23,1.04357e-28
0.2009493653,7.53966e-23,7.30654e-19,7.53965e-23,1.06139e-28
0.2010551282,8.72188e-23,7.29542e-19,8.72186e-23,1.36961e-28
0.2011609466,5.82654e-23,7.28431e-19,5.82653e-23,1.43066e-28
0.2012668208,1.03669e-22,7.27323e-19,1.03669e-22,2.41084e-28
0.2013727507,7.2714e-23,7.26216e-19,7.27137e-23,2.31653e-28
0.2014787364,8.68128e-23,7.25112e-19,8.68125e-23,3.08691e-28
0.2015847778,9.25115e-23,7.24009e-19,9.25111e-23,4.19839e-28
0.2016908751,9.38372e-23,7.22909e-19,9.38367e-23,4.62995e-28
0.2017970282,7.19802e-23,7.2181e-19,7.19799e-23,3.15553e-28
0.2019032371,9.59383e-23,7.20714e-19,9.5938e-23,3.03861e-28
0.202009502,9.21641e-23,7.1962e-19,9.21638e-23,2.9557e-28
0.2021158228,7.41495e-23,7.18527e-19,7.41493e-23,1.58609e-28
0.2022221995,6.13005e-23,7.17436e-19,6.13004e-23,1.22869e-28
0.2023286323,6.43803e-23,7.16348e-19,6.43801e-23,2.15235e-28
0.202435121,7.81051e-23,7.15261e-19,7.81048e-23,3.33489e-28
0.2025416658,7.36036e-23,7.14177e-19,7.36033e-23,3.83702e-28
0.2026482667,3.23029e-23,7.13093e-19,3.23026e-23,2.98182e-28
0.2027549237,8.20907e-23,7.12014e-19,8.20901e-23,5.37178e-28
