wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,1.87635e-27,1.00854e-19,1.87631e-27,3.79652e-32
0.2001052632,1.92958e-27,1.007e-19,1.92954e-27,3.73489e-32
0.2002105817,2.37619e-27,1.00546e-19,2.37614e-27,4.31219e-32
0.2003159557,2.03121e-27,1.00393e-19,2.03118e-27,2.31917e-32
0.2004213852,1.93245e-27,1.0024e-19,1.93245e-27,3.73028e-33
0.2005268701,2.43445e-27,1.00087e-19,2.43445e-27,3.19349e-33
0.2006324106,1.76601e-27,9.99343e-20,1.76601e-27,3.31475e-33
0.2007380066,1.76308e-27,9.9782e-20,1.76308e-27,3.09706e-33
0.2008436581,2.25552e-27,9.96299e-20,2.25552e-27,3.85918e-33
0.2009493653,1.98103e-27,9.94782e-20,1.98102e-27,3.79225e-33
0.2010551282,2.296e-27,9.93267e-20,2.296e-27,5.51221e-33
0.2011609466,1.99649e-27,9.91755e-20,1.99649e-27,7.29149e-33
0.2012668208,2.66394e-27,9.90246e-20,2.66392e-27,1.08972e-32
0.2013727507,2.13694e-27,9.88739e-20,2.13693e-27,1.1582e-32
0.2014787364,2.33598e-27,9.87235e-20,2.33597e-27,1.50679e-32
0.2015847778,2.4177e-27,9.85734e-20,2.41768e-27,2.07032e-32
0.2016908751,2.34775e-27,9.84236e-20,2.34773e-27,2.23285e-32
0.2017970282,2.30368e-27,9.8274e-20,2.30367e-27,1.49719e-32
0.2019032371,2.53761e-27,9.81248e-20,2.53759e-27,1.16298e-32
0.202009502,2.46234e-27,9.79758e-20,2.46233e-27,1.09928e-32
0.2021158228,2.14486e-27,9.7827e-20,2.14486e-27,5.02118e-33
0.2022221995,1.97068e-27,9.76786e-20,1.97068e-27,4.0562e-33
0.2023286323,2.05228e-27,9.75304e-20,2.05227e-27,8.74269e-33
0.202435121,2.27277e-27,9.73824e-20,2.27275e-27,1.39792e-32
0.2025416658,2.05597e-27,9.72348e-20,2.05595e-27,1.6543e-32
0.2026482667,8.60552e-28,9.70874e-20,8.60539e-28,1.29621e-32
0.2027549237,2.29003e-27,9.69403e-20,2.29001e-27,2.46337e-32
0.2028616368,2.21466e-27,9.67934e-20,2.21463e-27,3.22984e-32
0.2029684061,2.32165e-27,9.66468e-20,2.32161e-27,4.18576e-32
0.2030752316,2.70755e-27,9.65005e-20,2.70749e-27,6.11033e-32
0.2031821133,2.84832e-27,9.63545e-20,2.84824e-27,7.56307e-32
0.2032890512,3.00809e-27,9.62087e-20,3.008e-27,8.97539e-32
0.2033960455,2.13945e-27,9.60632e-20,2.13941e-27,4.73575e-32
0.203503096,2.74958e-27,9.59179e-20,2.74957e-27,1.06312e-32
0.2036102029,2.95962e-27,9.57729e-20,2.95962e-27,5.60584e-33
0.2037173662,2.91994e-27,9.56282e-20,2.91993e-27,1.08264e-32
0.2038245858,2.97479e-27,9.54837e-20,2.97477e-27,1.4783e-32
0.2039318619,2.42131e-27,9.53395e-20,2.42129e-27,1.86926e-32
0.2040391945,2.77539e-27,9.51955e-20,2.77537e-27,2.3142e-32
0.2041465835,2.81744e-27,9.50518e-20,2.81741e-27,2.91733e-32
0.2042540291,3.25175e-27,9.49084e-20,3.25172e-27,3.39712e-32
0.2043615312,2.99273e-27,9.47652e-20,2.9927e-27,2.82514e-32
0.2044690899,3.12213e-27,9.46223e-20,3.12211e-27,2.37156e-32
0.2045767052,3.21114e-27,9.44797e-20,3.21111e-27,2.22894e-32
0.2046843772,3.44994e-27,9.43373e-20,3.44992e-27,2.41892e-32
0.2047921058,3.2388e-27,9.41951e-20,3.23877e-27,2.42511e-32
0.2048998911,3.08981e-27,9.40533e-20,3.08979e-27,1.68155e-32
0.2050077332,3.07253e-27,9.39116e-20,3.07252e-27,8.30022e-33
0.205115632,3.2241e-27,9.37703e-20,3.22409e-27,7.02033e-33
0.2052235876,3.32396e-27,9.36291e-20,3.32395e-27,5.69191e-33
0.2053316,3.28121e-27,9.34883e-20,3.2812e-27,6.88729e-33
0.2054396693,3.47919e-27,9.33477e-20,3.47917e-27,1.4469e-32
0.2055477954,3.51581e-27,9.32073e-20,3.51579e-27,2.34358e-32
