wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,3.53935e-25,3.49823e-19,3.53935e-25,8.57456e-32
0.2001052632,3.6334e-25,3.49288e-19,3.6334e-25,9.90449e-32
0.2002105817,4.46658e-25,3.48755e-19,4.46658e-25,1.20797e-31
0.2003159557,3.81148e-25,3.48223e-19,3.81148e-25,4.20152e-32
0.2004213852,3.61989e-25,3.47692e-19,3.61989e-25,0.0
0.2005268701,4.5523e-25,3.47161e-19,4.5523e-25,1.19277e-34
0.2006324106,3.29661e-25,3.46632e-19,3.29661e-25,3.09231e-34
0.2007380066,3.28542e-25,3.46104e-19,3.28542e-25,3.73752e-34
0.2008436581,4.19575e-25,3.45576e-19,4.19575e-25,6.53625e-34
0.2009493653,3.67873e-25,3.4505e-19,3.67873e-25,8.10902e-34
0.2010551282,4.25622e-25,3.44525e-19,4.25622e-25,2.24952e-33
0.2011609466,3.69458e-25,3.44e-19,3.69458e-25,5.05878e-33
0.2012668208,4.92115e-25,3.43477e-19,4.92115e-25,9.90266e-33
0.2013727507,3.94078e-25,3.42954e-19,3.94078e-25,1.25695e-32
0.2014787364,4.30036e-25,3.42433e-19,4.30036e-25,2.0044e-32
0.2015847778,4.44308e-25,3.41912e-19,4.44308e-25,3.76348e-32
0.2016908751,4.30706e-25,3.41392e-19,4.30706e-25,4.00262e-32
0.2017970282,4.21892e-25,3.40873e-19,4.21892e-25,1.24724e-32
0.2019032371,4.6393e-25,3.40356e-19,4.6393e-25,3.90072e-33
0.202009502,4.49392e-25,3.39839e-19,4.49392e-25,3.20226e-33
0.2021158228,3.90774e-25,3.39323e-19,3.90774e-25,2.30782e-34
0.2022221995,3.5842e-25,3.38808e-19,3.5842e-25,1.83208e-34
0.2023286323,3.72617e-25,3.38294e-19,3.72617e-25,1.76222e-33
0.202435121,4.11937e-25,3.37781e-19,4.11937e-25,5.67566e-33
0.2025416658,3.71999e-25,3.37269e-19,3.71999e-25,1.12151e-32
0.2026482667,1.55436e-25,3.36757e-19,1.55436e-25,1.15578e-32
0.2027549237,4.12922e-25,3.36247e-19,4.12922e-25,2.66778e-32
0.2028616368,3.98643e-25,3.35738e-19,3.98643e-25,4.88371e-32
0.2029684061,4.17182e-25,3.35229e-19,4.17182e-25,8.25597e-32
0.2030752316,4.85686e-25,3.34722e-19,4.85686e-25,1.59696e-31
0.2031821133,5.10057e-25,3.34215e-19,5.10057e-25,2.31289e-31
0.2032890512,5.37743e-25,3.3371e-19,5.37742e-25,3.17358e-31
0.2033960455,3.81806e-25,3.33205e-19,3.81806e-25,1.1801e-31
0.203503096,4.89856e-25,3.32701e-19,4.89856e-25,8.88462e-33
0.2036102029,5.26374e-25,3.32198e-19,5.26374e-25,1.94825e-34
0.2037173662,5.18425e-25,3.31696e-19,5.18425e-25,1.39987e-33
0.2038245858,5.27258e-25,3.31195e-19,5.27258e-25,4.29151e-33
0.2039318619,4.28423e-25,3.30695e-19,4.28423e-25,1.01874e-32
0.2040391945,4.90232e-25,3.30195e-19,4.90232e-25,1.72179e-32
0.2041465835,4.96808e-25,3.29697e-19,4.96808e-25,3.32689e-32
0.2042540291,5.72412e-25,3.29199e-19,5.72411e-25,5.22303e-32
0.2043615312,5.25917e-25,3.28703e-19,5.25917e-25,5.02712e-32
0.2044690899,5.4772e-25,3.28207e-19,5.4772e-25,4.49109e-32
0.2045767052,5.62374e-25,3.27712e-19,5.62374e-25,3.99993e-32
0.2046843772,6.03165e-25,3.27218e-19,6.03165e-25,4.87364e-32
0.2047921058,5.65285e-25,3.26725e-19,5.65285e-25,5.76283e-32
0.2048998911,5.38363e-25,3.26233e-19,5.38363e-25,2.23677e-32
0.2050077332,5.34443e-25,3.25742e-19,5.34443e-25,1.14811e-33
0.205115632,5.59852e-25,3.25252e-19,5.59852e-25,8.08168e-34
0.2052235876,5.76211e-25,3.24762e-19,5.76211e-25,3.41071e-34
0.2053316,5.67834e-25,3.24273e-19,5.67834e-25,5.39529e-34
0.2054396693,6.01071e-25,3.23786e-19,6.01071e-25,4.30921e-33
0.2055477954,6.06364e-25,3.23299e-19,6.06364e-25,1.56741e-32
0.2056559784,5.59941e-25,3.22813e-19,5.59941e-25,3.12273e-32
0.2057642184,6.34682e-25,3.22328e-19,6.34682e-25,6.95071e-32
0.2058725154,5.76075e-25,3.21844e-19,5.76075e-25,8.46644e-32
0.2059808694,6.39604e-25,3.2136e-19,6.39604e-25,1.14367e-31
0.2060892803,5.57859e-25,3.20878e-19,5.57859e-25,1.77927e-31
0.2061977484,5.84321e-25,3.20396e-19,5.84321e-25,2.77269e-31
0.2063062735,6.0088e-25,3.19915e-19,6.0088e-25,3.59367e-31
0.2064148558,6.35351e-25,3.19435e-19,6.35351e-25,4.72991e-31
0.2065234952,6.10004e-25,3.18956e-19,6.10004e-25,2.91968e-31
0.2066321917,5.43017e-25,3.18478e-19,5.43017e-25,5.32732e-33
0.2067409455,6.42555e-25,3.18001e-19,6.42555e-25,2.12776e-33
0.2068497565,6.23507e-25,3.17524e-19,6.23507e-25,1.12801e-33
0.2069586248,5.98474e-25,3.17049e-19,5.98474e-25,5.69341e-33
0.2070675504,6.6603e-25,3.16574e-19,6.6603e-25,1.48451e-32
0.2071765333,7.24455e-25,3.161e-19,7.24455e-25,3.68401e-32
0.2072855736,6.69039e-25,3.15627e-19,6.69039e-25,7.00416e-32
0.2073946713,7.02147e-25,3.15155e-19,7.02147e-25,1.26258e-31
0.2075038264,6.88434e-25,3.14683e-19,6.88434e-25,2.21267e-31
0.2076130389,7.51198e-25,3.14213e-19,7.51198e-25,3.66479e-31
0.2077223089,7.53701e-25,3.13743e-19,7.53701e-25,5.40574e-31
0.2078316365,7.10734e-25,3.13274e-19,7.10734e-25,6.13353e-31
0.2079410216,8.39963e-25,3.12806e-19,8.39962e-25,7.49695e-31
0.2080504642,7.83798e-25,3.12339e-19,7.83797e-25,8.86622e-31
0.2081599644,7.77816e-25,3.11873e-19,7.77815e-25,4.46138e-31
0.2082695223,8.20918e-25,3.11407e-19,8.20918e-25,4.24224e-33
0.2083791379,8.4253e-25,3.10942e-19,8.4253e-25,9.80378e-35
0.2084888111,6.4678e-25,3.10478e-19,6.4678e-25,3.60577e-33
0.208598542,8.31876e-25,3.10015e-19,8.31876e-25,5.54278e-33
0.2087083307,9.89783e-25,3.09553e-19,9.89783e-25,1.06612e-32
0.2088181772,8.16685e-25,3.09092e-19,8.16685e-25,2.24253e-32
0.2089280815,9.31905e-25,3.08631e-19,9.31905e-25,6.07201e-32
0.2090380437,1.06467e-24,3.08171e-19,1.06467e-24,1.316e-31
0.2091480637,9.45431e-25,3.07712e-19,9.45431e-25,2.09692e-31
0.2092581416,9.87457e-25,3.07254e-19,9.87457e-25,3.30414e-31
0.2093682775,1.17137e-24,3.06797e-19,1.17137e-24,5.1776e-31
0.2094784713,9.1674e-25,3.0634e-19,9.16739e-25,7.12977e-31
0.2095887232,1.16915e-24,3.05884e-19,1.16914e-24,1.27261e-30
0.209699033,1.23652e-24,3.0543e-19,1.23652e-24,1.63801e-30
0.2098094009,1.72477e-24,3.04975e-19,1.72477e-24,1.43129e-30
0.2099198269,1.27887e-24,3.04522e-19,1.27887e-24,8.31477e-32
0.210030311,1.24768e-24,3.0407e-19,1.24768e-24,4.50157e-32
0.2101408533,1.29679e-24,3.03618e-19,1.29679e-24,1.54403e-32
0.2102514538,2.20788e-24,3.03167e-19,2.20788e-24,2.06736e-32
0.2103621124,1.32347e-24,3.02717e-19,1.32347e-24,5.91341e-32
0.2104728293,1.87033e-24,3.02267e-19,1.87033e-24,1.83672e-31
0.2105836045,2.31775e-24,3.01819e-19,2.31775e-24,3.36426e-31
0.210694438,1.06656e-24,3.01371e-19,1.06656e-24,3.74791e-31
0.2108053298,1.94732e-24,3.00924e-19,1.94732e-24,7.06792e-31
0.21091628,8.49582e-25,3.00478e-19,8.49582e-25,6.45178e-31
0.2110272885,1.62096e-24,3.00033e-19,1.62095e-24,1.3508e-30
0.2111383555,1.83367e-24,2.99588e-19,1.83367e-24,2.58544e-30
0.211249481,2.57464e-24,2.99144e-19,2.57463e-24,4.22635e-30
0.2113606649,1.7003e-24,2.98701e-19,1.7003e-24,3.79065e-30
0.2114719074,1.63594e-24,2.98259e-19,1.63593e-24,3.06289e-30
0.2115832084,1.34871e-24,2.97817e-19,1.34871e-24,7.37282e-31
0.2116945679,2.07171e-24,2.97377e-19,2.07171e-24,3.16658e-32
0.2118059861,2.45264e-24,2.96937e-19,2.45264e-24,6.61022e-32
0.211917463,1.70684e-24,2.96498e-19,1.70684e-24,1.09118e-31
0.2120289985,2.36175e-24,2.96059e-19,2.36175e-24,1.91867e-31
0.2121405927,2.27476e-24,2.95622e-19,2.27476e-24,2.44295e-31
0.2122522456,1.84724e-24,2.95185e-19,1.84724e-24,3.01732e-31
0.2123639573,1.31078e-24,2.94749e-19,1.31078e-24,3.3567e-31
0.2124757278,7.55043e-25,2.94313e-19,7.55043e-25,2.88783e-31
0.2125875572,1.62979e-24,2.93879e-19,1.62979e-24,6.26675e-31
0.2126994454,2.0711e-24,2.93445e-19,2.0711e-24,1.12077e-30
0.2128113924,1.92024e-24,2.93012e-19,1.92024e-24,1.68943e-30
0.2129233984,2.30236e-24,2.9258e-19,2.30236e-24,2.8501e-30
0.2130354634,1.7372e-24,2.92148e-19,1.7372e-24,3.16969e-30
0.2131475873,2.40188e-24,2.91717e-19,2.40188e-24,2.88002e-30
0.2132597703,2.10076e-24,2.91287e-19,2.10076e-24,7.37982e-31
0.2133720122,2.59871e-24,2.90858e-19,2.59871e-24,2.77089e-31
0.2134843133,1.99318e-24,2.90429e-19,1.99318e-24,1.4319e-31
0.2135966735,2.10841e-24,2.90002e-19,2.10841e-24,1.88174e-31
0.2137090928,2.49064e-24,2.89575e-19,2.49064e-24,3.74488e-31
0.2138215712,2.64195e-24,2.89148e-19,2.64195e-24,6.16227e-31
0.2139341089,1.78751e-24,2.88723e-19,1.78751e-24,7.58272e-31
0.2140467058,1.71918e-24,2.88298e-19,1.71918e-24,8.05836e-31
0.214159362,2.74234e-24,2.87874e-19,2.74234e-24,1.07209e-30
0.2142720774,2.42032e-24,2.8745e-19,2.42032e-24,1.452e-30
0.2143848522,3.16424e-24,2.87028e-19,3.16424e-24,2.90264e-30
