wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,8.65873e-21,1.80959e-18,8.65871e-21,2.40046e-26
0.2001052632,8.6973e-21,1.80682e-18,8.69729e-21,1.96076e-26
0.2002105817,8.74063e-21,1.80407e-18,8.74061e-21,1.8819e-26
0.2003159557,8.78413e-21,1.80132e-18,8.78412e-21,1.21269e-26
0.2004213852,8.82782e-21,1.79857e-18,8.82781e-21,3.54299e-27
0.2005268701,8.8717e-21,1.79583e-18,8.8717e-21,2.60423e-27
0.2006324106,8.91578e-21,1.79309e-18,8.91578e-21,2.66024e-27
0.2007380066,8.96005e-21,1.79036e-18,8.96005e-21,2.29662e-27
0.2008436581,9.00451e-21,1.78763e-18,9.0045e-21,2.19225e-27
0.2009493653,9.04916e-21,1.78491e-18,9.04916e-21,2.16713e-27
0.2010551282,9.094e-21,1.78219e-18,9.094e-21,2.58154e-27
0.2011609466,9.13904e-21,1.77948e-18,9.13904e-21,3.31562e-27
0.2012668208,9.18427e-21,1.77678e-18,9.18427e-21,4.04867e-27
0.2013727507,9.2297e-21,1.77407e-18,9.22969e-21,4.99221e-27
0.2014787364,9.27532e-21,1.77138e-18,9.27532e-21,6.27305e-27
0.2015847778,9.32114e-21,1.76869e-18,9.32113e-21,8.20489e-27
0.2016908751,9.36716e-21,1.766e-18,9.36715e-21,9.47791e-27
0.2017970282,9.41337e-21,1.76332e-18,9.41336e-21,7.82121e-27
0.2019032371,9.45978e-21,1.76064e-18,9.45977e-21,6.8308e-27
0.202009502,9.50639e-21,1.75797e-18,9.50638e-21,6.98572e-27
0.2021158228,9.55319e-21,1.7553e-18,9.55319e-21,4.76842e-27
0.2022221995,9.6002e-21,1.75264e-18,9.6002e-21,4.48592e-27
0.2023286323,9.64742e-21,1.74998e-18,9.64741e-21,7.41232e-27
0.202435121,9.69483e-21,1.74733e-18,9.69482e-21,9.99965e-27
0.2025416658,9.74245e-21,1.74468e-18,9.74244e-21,1.27479e-26
0.2026482667,9.79027e-21,1.74204e-18,9.79025e-21,1.46502e-26
0.2027549237,9.83829e-21,1.7394e-18,9.83828e-21,1.64725e-26
0.2028616368,9.88652e-21,1.73676e-18,9.8865e-21,1.9811e-26
0.2029684061,9.93496e-21,1.73413e-18,9.93493e-21,2.37023e-26
0.2030752316,9.9836e-21,1.73151e-18,9.98357e-21,2.89046e-26
0.2031821133,1.00325e-20,1.72889e-18,1.00324e-20,3.26239e-26
0.2032890512,1.00815e-20,1.72628e-18,1.00815e-20,3.6475e-26
0.2033960455,1.01308e-20,1.72367e-18,1.01307e-20,2.65326e-26
0.203503096,1.01802e-20,1.72106e-18,1.01802e-20,7.72651e-27
0.2036102029,1.02299e-20,1.71846e-18,1.02299e-20,4.8519e-27
0.2037173662,1.02798e-20,1.71587e-18,1.02798e-20,7.52844e-27
0.2038245858,1.03299e-20,1.71328e-18,1.03299e-20,9.4568e-27
0.2039318619,1.03802e-20,1.71069e-18,1.03802e-20,1.21263e-26
0.2040391945,1.04307e-20,1.70811e-18,1.04307e-20,1.29394e-26
0.2041465835,1.04815e-20,1.70553e-18,1.04814e-20,1.41196e-26
0.2042540291,1.05324e-20,1.70296e-18,1.05324e-20,1.31491e-26
0.2043615312,1.05836e-20,1.70039e-18,1.05836e-20,1.01475e-26
0.2044690899,1.0635e-20,1.69783e-18,1.06349e-20,7.58084e-27
0.2045767052,1.06866e-20,1.69527e-18,1.06865e-20,6.82556e-27
0.2046843772,1.07384e-20,1.69272e-18,1.07384e-20,6.90011e-27
0.2047921058,1.07904e-20,1.69017e-18,1.07904e-20,6.87332e-27
0.2048998911,1.08427e-20,1.68762e-18,1.08427e-20,5.71403e-27
0.2050077332,1.08951e-20,1.68508e-18,1.08951e-20,4.0492e-27
0.205115632,1.09478e-20,1.68255e-18,1.09478e-20,3.79607e-27
0.2052235876,1.10007e-20,1.68002e-18,1.10007e-20,3.5295e-27
0.2053316,1.10539e-20,1.67749e-18,1.10539e-20,4.25344e-27
0.2054396693,1.11072e-20,1.67497e-18,1.11072e-20,7.06371e-27
0.2055477954,1.11608e-20,1.67245e-18,1.11608e-20,1.03409e-26
0.2056559784,1.12146e-20,1.66994e-18,1.12146e-20,1.35238e-26
0.2057642184,1.12687e-20,1.66743e-18,1.12686e-20,1.77423e-26
0.2058725154,1.13229e-20,1.66493e-18,1.13229e-20,2.01939e-26
0.2059808694,1.13774e-20,1.66243e-18,1.13774e-20,2.29965e-26
0.2060892803,1.14321e-20,1.65994e-18,1.14321e-20,2.87847e-26
0.2061977484,1.1487e-20,1.65745e-18,1.1487e-20,3.52338e-26
0.2063062735,1.15422e-20,1.65496e-18,1.15422e-20,4.00487e-26
0.2064148558,1.15976e-20,1.65248e-18,1.15976e-20,4.59463e-26
0.2065234952,1.16532e-20,1.65e-18,1.16532e-20,3.79756e-26
0.2066321917,1.17091e-20,1.64753e-18,1.1709e-20,1.3727e-26
0.2067409455,1.17651e-20,1.64506e-18,1.17651e-20,7.35384e-27
0.2068497565,1.18215e-20,1.6426e-18,1.18214e-20,7.7322e-27
0.2069586248,1.1878e-20,1.64014e-18,1.1878e-20,1.15702e-26
0.2070675504,1.19348e-20,1.63769e-18,1.19348e-20,1.45807e-26
0.2071765333,1.19918e-20,1.63524e-18,1.19918e-20,1.84615e-26
0.2072855736,1.20491e-20,1.63279e-18,1.20491e-20,2.27542e-26
0.2073946713,1.21066e-20,1.63035e-18,1.21066e-20,2.76457e-26
0.2075038264,1.21643e-20,1.62791e-18,1.21643e-20,3.40365e-26
0.2076130389,1.22223e-20,1.62548e-18,1.22222e-20,4.04481e-26
0.2077223089,1.22805e-20,1.62305e-18,1.22805e-20,4.74733e-26
0.2078316365,1.23389e-20,1.62063e-18,1.23389e-20,4.96574e-26
0.2079410216,1.23976e-20,1.61821e-18,1.23976e-20,4.95188e-26
0.2080504642,1.24566e-20,1.61579e-18,1.24565e-20,4.92806e-26
0.2081599644,1.25157e-20,1.61338e-18,1.25157e-20,3.01195e-26
0.2082695223,1.25751e-20,1.61098e-18,1.25751e-20,7.84331e-27
0.2083791379,1.26347e-20,1.60857e-18,1.26347e-20,4.45778e-27
0.2084888111,1.26946e-20,1.60618e-18,1.26946e-20,6.6726e-27
0.208598542,1.27548e-20,1.60378e-18,1.27548e-20,6.99749e-27
0.2087083307,1.28152e-20,1.60139e-18,1.28152e-20,6.78017e-27
0.2088181772,1.28758e-20,1.59901e-18,1.28758e-20,8.44321e-27
0.2089280815,1.29367e-20,1.59663e-18,1.29367e-20,1.14772e-26
0.2090380437,1.29978e-20,1.59425e-18,1.29978e-20,1.53752e-26
0.2091480637,1.30592e-20,1.59188e-18,1.30592e-20,1.97038e-26
0.2092581416,1.31209e-20,1.58951e-18,1.31208e-20,2.5358e-26
0.2093682775,1.31828e-20,1.58714e-18,1.31827e-20,3.14357e-26
0.2094784713,1.32449e-20,1.58478e-18,1.32449e-20,4.02006e-26
0.2095887232,1.33073e-20,1.58243e-18,1.33072e-20,5.31114e-26
0.209699033,1.33699e-20,1.58008e-18,1.33699e-20,6.07428e-26
0.2098094009,1.34328e-20,1.57773e-18,1.34328e-20,5.36776e-26
0.2099198269,1.3496e-20,1.57539e-18,1.34959e-20,2.11314e-26
0.210030311,1.35594e-20,1.57305e-18,1.35593e-20,1.7287e-26
0.2101408533,1.3623e-20,1.57071e-18,1.3623e-20,1.30493e-26
0.2102514538,1.36869e-20,1.56838e-18,1.36869e-20,1.29215e-26
0.2103621124,1.37511e-20,1.56605e-18,1.37511e-20,1.89987e-26
0.2104728293,1.38156e-20,1.56373e-18,1.38155e-20,2.53005e-26
0.2105836045,1.38803e-20,1.56141e-18,1.38802e-20,3.0362e-26
0.210694438,1.39452e-20,1.5591e-18,1.39452e-20,3.83348e-26
0.2108053298,1.40105e-20,1.55679e-18,1.40104e-20,4.46235e-26
0.21091628,1.4076e-20,1.55448e-18,1.40759e-20,5.16592e-26
0.2110272885,1.41417e-20,1.55218e-18,1.41417e-20,6.366e-26
0.2111383555,1.42077e-20,1.54988e-18,1.42077e-20,8.2453e-26
0.211249481,1.4274e-20,1.54759e-18,1.42739e-20,9.52368e-26
0.2113606649,1.43406e-20,1.5453e-18,1.43405e-20,1.07034e-25
0.2114719074,1.44074e-20,1.54301e-18,1.44073e-20,1.00129e-25
0.2115832084,1.44744e-20,1.54073e-18,1.44744e-20,4.90709e-26
0.2116945679,1.45417e-20,1.53845e-18,1.45417e-20,1.62511e-26
0.2118059861,1.46094e-20,1.53618e-18,1.46093e-20,1.74249e-26
0.211917463,1.46772e-20,1.53391e-18,1.46772e-20,2.11496e-26
0.2120289985,1.47454e-20,1.53164e-18,1.47454e-20,2.25477e-26
0.2121405927,1.48138e-20,1.52938e-18,1.48138e-20,2.17597e-26
0.2122522456,1.48825e-20,1.52712e-18,1.48825e-20,2.1376e-26
0.2123639573,1.49515e-20,1.52487e-18,1.49515e-20,2.64935e-26
0.2124757278,1.50208e-20,1.52262e-18,1.50207e-20,3.2059e-26
0.2125875572,1.50903e-20,1.52037e-18,1.50903e-20,3.18426e-26
0.2126994454,1.51601e-20,1.51813e-18,1.51601e-20,3.1243e-26
0.2128113924,1.52302e-20,1.51589e-18,1.52302e-20,3.70724e-26
0.2129233984,1.53006e-20,1.51366e-18,1.53005e-20,4.85514e-26
0.2130354634,1.53712e-20,1.51143e-18,1.53712e-20,5.86666e-26
0.2131475873,1.54421e-20,1.5092e-18,1.54421e-20,5.77379e-26
0.2132597703,1.55133e-20,1.50698e-18,1.55133e-20,3.50113e-26
0.2133720122,1.55848e-20,1.50476e-18,1.55848e-20,2.58593e-26
0.2134843133,1.56566e-20,1.50254e-18,1.56565e-20,2.25666e-26
0.2135966735,1.57286e-20,1.50033e-18,1.57286e-20,2.48442e-26
0.2137090928,1.5801e-20,1.49812e-18,1.58009e-20,3.07982e-26
0.2138215712,1.58736e-20,1.49592e-18,1.58735e-20,3.75002e-26
0.2139341089,1.59465e-20,1.49372e-18,1.59465e-20,4.69677e-26
0.2140467058,1.60197e-20,1.49153e-18,1.60196e-20,4.93783e-26
0.214159362,1.60932e-20,1.48933e-18,1.60931e-20,4.85419e-26
0.2142720774,1.6167e-20,1.48715e-18,1.61669e-20,5.72103e-26
0.2143848522,1.6241e-20,1.48496e-18,1.6241e-20,7.53099e-26
0.2144976863,1.63115e-20,1.48278e-18,1.63114e-20,9.64916e-26
0.2146105798,1.63689e-20,1.4806e-18,1.63688e-20,1.06164e-25
0.2147235328,1.64265e-20,1.47843e-18,1.64264e-20,1.14912e-25
0.2148365452,1.64842e-20,1.47626e-18,1.64841e-20,1.31763e-25
0.214949617,1.6542e-20,1.4741e-18,1.65419e-20,1.04334e-25
0.2150627484,1.66e-20,1.47178e-18,1.65999e-20,4.77403e-26
0.2151759393,1.66581e-20,1.46935e-18,1.66581e-20,2.85906e-26
0.2152891898,1.67165e-20,1.46692e-18,1.67164e-20,3.15473e-26
0.2154024999,1.67749e-20,1.46449e-18,1.67749e-20,4.55481e-26
0.2155158697,1.68336e-20,1.46207e-18,1.68335e-20,5.84502e-26
0.2156292991,1.68924e-20,1.45966e-18,1.68923e-20,6.19747e-26
0.2157427882,1.69513e-20,1.45725e-18,1.69512e-20,6.77518e-26
0.215856337,1.70104e-20,1.45484e-18,1.70103e-20,8.04427e-26
0.2159699456,1.70697e-20,1.45245e-18,1.70696e-20,9.16211e-26
0.216083614,1.71291e-20,1.45005e-18,1.7129e-20,1.05547e-25
0.2161973422,1.71886e-20,1.44766e-18,1.71885e-20,9.64231e-26
0.2163111303,1.72483e-20,1.44528e-18,1.72483e-20,8.99488e-26
0.2164249783,1.73082e-20,1.4429e-18,1.73081e-20,9.40257e-26
0.2165388861,1.73683e-20,1.44052e-18,1.73682e-20,1.07026e-25
0.216652854,1.74284e-20,1.43815e-18,1.74283e-20,9.13903e-26
0.2167668818,1.74887e-20,1.43579e-18,1.74887e-20,5.28674e-26
0.2168809696,1.75492e-20,1.43343e-18,1.75492e-20,3.43457e-26
0.2169951175,1.76099e-20,1.43107e-18,1.76099e-20,3.20515e-26
0.2171093255,1.76707e-20,1.42872e-18,1.76707e-20,3.46272e-26
0.2172235935,1.77317e-20,1.42637e-18,1.77317e-20,4.36148e-26
0.2173379217,1.77928e-20,1.42403e-18,1.77928e-20,5.72661e-26
0.2174523101,1.78542e-20,1.4217e-18,1.78541e-20,7.91057e-26
0.2175667587,1.79156e-20,1.41937e-18,1.79155e-20,9.79589e-26
0.2176812675,1.79773e-20,1.41704e-18,1.79771e-20,1.06764e-25
0.2177958366,1.8039e-20,1.41472e-18,1.80389e-20,1.19308e-25
0.217910466,1.8101e-20,1.4124e-18,1.81009e-20,1.36598e-25
0.2180251557,1.81631e-20,1.41009e-18,1.81629e-20,1.33408e-25
0.2181399058,1.82253e-20,1.40778e-18,1.82252e-20,1.39829e-25
0.2182547163,1.82878e-20,1.40548e-18,1.82876e-20,1.6485e-25
0.2183695872,1.83504e-20,1.40318e-18,1.83502e-20,1.9386e-25
0.2184845185,1.84131e-20,1.40089e-18,1.84129e-20,1.57849e-25
0.2185995104,1.84759e-20,1.3986e-18,1.84758e-20,8.31509e-26
0.2187145628,1.85389e-20,1.39631e-18,1.85389e-20,4.60469e-26
0.2188296757,1.86021e-20,1.39403e-18,1.86021e-20,4.63448e-26
0.2189448492,1.86655e-20,1.39176e-18,1.86654e-20,5.88482e-26
0.2190600833,1.87291e-20,1.38949e-18,1.8729e-20,8.32054e-26
0.2191753781,1.87928e-20,1.38722e-18,1.87927e-20,9.91634e-26
0.2192907336,1.88567e-20,1.38496e-18,1.88565e-20,1.04127e-25
0.2194061498,1.89207e-20,1.3827e-18,1.89206e-20,1.17852e-25
0.2195216267,1.89849e-20,1.38045e-18,1.89848e-20,1.48324e-25
0.2196371644,1.90493e-20,1.3782e-18,1.90491e-20,1.52213e-25
0.2197527629,1.91138e-20,1.37596e-18,1.91136e-20,1.3163e-25
0.2198684222,1.91784e-20,1.37372e-18,1.91783e-20,1.27299e-25
0.2199841425,1.92433e-20,1.37149e-18,1.92431e-20,1.49668e-25
0.2200999236,1.93083e-20,1.36926e-18,1.93081e-20,1.67979e-25
0.2202157656,1.93735e-20,1.36703e-18,1.93733e-20,1.44783e-25
0.2203316687,1.94387e-20,1.36481e-18,1.94386e-20,1.06321e-25
0.2204476327,1.95042e-20,1.3626e-18,1.95041e-20,6.32284e-26
0.2205636578,1.95698e-20,1.36039e-18,1.95698e-20,5.28989e-26
0.2206797439,1.96357e-20,1.35818e-18,1.96356e-20,6.54408e-26
0.2207958912,1.97017e-20,1.35598e-18,1.97016e-20,7.7197e-26
0.2209120995,1.97679e-20,1.35378e-18,1.97678e-20,9.03366e-26
0.221028369,1.98342e-20,1.35159e-18,1.98341e-20,9.77961e-26
0.2211446998,1.99007e-20,1.3494e-18,1.99006e-20,1.01558e-25
0.2212610917,1.99673e-20,1.34721e-18,1.99672e-20,1.09475e-25
0.2213775449,2.00341e-20,1.34503e-18,2.0034e-20,1.18987e-25
0.2214940594,2.01011e-20,1.34285e-18,2.0101e-20,1.35475e-25
0.2216106352,2.01683e-20,1.34068e-18,2.01682e-20,1.46107e-25
0.2217272724,2.02356e-20,1.33852e-18,2.02355e-20,1.58527e-25
0.221843971,2.03031e-20,1.33635e-18,2.0303e-20,1.71168e-25
0.221960731,2.03708e-20,1.33419e-18,2.03706e-20,1.70315e-25
0.2220775524,2.04386e-20,1.33204e-18,2.04384e-20,1.6511e-25
0.2221944353,2.05065e-20,1.32989e-18,2.05064e-20,1.26623e-25
0.2223113798,2.05747e-20,1.32774e-18,2.05746e-20,1.02004e-25
0.2224283857,2.0643e-20,1.3256e-18,2.06429e-20,1.0062e-25
0.2225454533,2.07115e-20,1.32346e-18,2.07114e-20,1.06021e-25
0.2226625825,2.07801e-20,1.32133e-18,2.078e-20,1.09195e-25
0.2227797733,2.08489e-20,1.3192e-18,2.08488e-20,1.1056e-25
0.2228970259,2.09179e-20,1.31708e-18,2.09178e-20,1.17095e-25
0.2230143401,2.09871e-20,1.31496e-18,2.0987e-20,1.34115e-25
0.223131716,2.10564e-20,1.31284e-18,2.10563e-20,1.34536e-25
0.2232491538,2.11259e-20,1.31073e-18,2.11258e-20,1.43854e-25
0.2233666533,2.11956e-20,1.30862e-18,2.11955e-20,1.70712e-25
0.2234842147,2.12655e-20,1.30652e-18,2.12653e-20,1.93714e-25
0.223601838,2.13355e-20,1.30442e-18,2.13353e-20,2.04813e-25
0.2237195232,2.14057e-20,1.30232e-18,2.14055e-20,2.02251e-25
0.2238372703,2.1476e-20,1.30023e-18,2.14758e-20,1.69887e-25
0.2239550794,2.15465e-20,1.29815e-18,2.15463e-20,1.60489e-25
0.2240729505,2.16172e-20,1.29606e-18,2.1617e-20,1.35319e-25
0.2241908836,2.1688e-20,1.29399e-18,2.16879e-20,1.19249e-25
0.2243088788,2.1759e-20,1.29191e-18,2.17589e-20,1.13752e-25
0.2244269361,2.18302e-20,1.28984e-18,2.18301e-20,1.23096e-25
0.2245450556,2.19016e-20,1.28778e-18,2.19015e-20,1.27635e-25
0.2246632372,2.19731e-20,1.28571e-18,2.1973e-20,1.32594e-25
0.224781481,2.20449e-20,1.28365e-18,2.20447e-20,1.37895e-25
0.224899787,2.21167e-20,1.2816e-18,2.21166e-20,1.42296e-25
0.2250181553,2.21888e-20,1.27955e-18,2.21887e-20,1.46028e-25
0.2251365859,2.2261e-20,1.27751e-18,2.22609e-20,1.56469e-25
0.2252550789,2.23334e-20,1.27546e-18,2.23333e-20,1.64235e-25
0.2253736342,2.2406e-20,1.27343e-18,2.24059e-20,1.75306e-25
0.2254922519,2.24788e-20,1.27139e-18,2.24786e-20,1.63863e-25
0.225610932,2.25517e-20,1.26936e-18,2.25515e-20,1.452e-25
0.2257296746,2.26247e-20,1.26734e-18,2.26246e-20,1.28486e-25
0.2258484797,2.2698e-20,1.26531e-18,2.26979e-20,1.29889e-25
0.2259673473,2.27714e-20,1.2633e-18,2.27713e-20,1.30932e-25
0.2260862775,2.2845e-20,1.26128e-18,2.28449e-20,1.31019e-25
0.2262052703,2.29188e-20,1.25927e-18,2.29187e-20,1.35099e-25
0.2263243257,2.29928e-20,1.25727e-18,2.29926e-20,1.4004e-25
0.2264434438,2.30669e-20,1.25526e-18,2.30668e-20,1.4291e-25
0.2265626245,2.31412e-20,1.25327e-18,2.31411e-20,1.45769e-25
0.226681868,2.32157e-20,1.25127e-18,2.32156e-20,1.50979e-25
0.2268011743,2.32904e-20,1.24928e-18,2.32902e-20,1.51007e-25
0.2269205433,2.33652e-20,1.2473e-18,2.3365e-20,1.50134e-25
0.2270399752,2.34402e-20,1.24531e-18,2.344e-20,1.51807e-25
0.2271594699,2.35154e-20,1.24333e-18,2.35152e-20,1.53704e-25
0.2272790275,2.35907e-20,1.24136e-18,2.35906e-20,1.53527e-25
0.227398648,2.36663e-20,1.23939e-18,2.36661e-20,1.5643e-25
0.2275183315,2.3742e-20,1.23742e-18,2.37418e-20,1.46409e-25
0.227638078,2.38178e-20,1.23546e-18,2.38177e-20,1.18246e-25
0.2277578875,2.38939e-20,1.2335e-18,2.38938e-20,1.30998e-25
0.2278777601,2.39701e-20,1.23154e-18,2.397e-20,1.40967e-25
0.2279976958,2.40465e-20,1.22959e-18,2.40464e-20,1.45327e-25
0.2281176946,2.41231e-20,1.22764e-18,2.4123e-20,1.47338e-25
0.2282377565,2.41999e-20,1.2257e-18,2.41997e-20,1.52664e-25
0.2283578816,2.42768e-20,1.22376e-18,2.42767e-20,1.56293e-25
0.22847807,2.4354e-20,1.22182e-18,2.43538e-20,1.5824e-25
0.2285983216,2.44313e-20,1.21989e-18,2.44311e-20,1.59474e-25
