wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,2.94243e-21,1.81829e-19,2.94242e-21,9.27458e-27
0.2001052632,2.95126e-21,1.81552e-19,2.95126e-21,5.05984e-27
0.2002105817,2.96168e-21,1.81275e-19,2.96167e-21,4.66295e-27
0.2003159557,2.97211e-21,1.80999e-19,2.97211e-21,3.23454e-27
0.2004213852,2.98258e-21,1.80723e-19,2.98258e-21,1.44364e-27
0.2005268701,2.99307e-21,1.80448e-19,2.99307e-21,9.90091e-28
0.2006324106,3.0036e-21,1.80173e-19,3.0036e-21,7.78216e-28
0.2007380066,3.01415e-21,1.79898e-19,3.01415e-21,5.78138e-28
0.2008436581,3.02473e-21,1.79625e-19,3.02473e-21,4.9164e-28
0.2009493653,3.03534e-21,1.79351e-19,3.03534e-21,4.54182e-28
0.2010551282,3.04597e-21,1.79078e-19,3.04597e-21,4.95299e-28
0.2011609466,3.05664e-21,1.78806e-19,3.05664e-21,6.0737e-28
0.2012668208,3.06733e-21,1.78534e-19,3.06733e-21,7.42935e-28
0.2013727507,3.07805e-21,1.78263e-19,3.07805e-21,9.46055e-28
0.2014787364,3.0888e-21,1.77992e-19,3.0888e-21,1.22961e-27
0.2015847778,3.09958e-21,1.77722e-19,3.09958e-21,1.61868e-27
0.2016908751,3.11039e-21,1.77452e-19,3.11038e-21,2.00056e-27
0.2017970282,3.12122e-21,1.77183e-19,3.12122e-21,2.08611e-27
0.2019032371,3.13208e-21,1.76914e-19,3.13208e-21,2.2156e-27
0.202009502,3.14298e-21,1.76645e-19,3.14297e-21,2.44746e-27
0.2021158228,3.1539e-21,1.76378e-19,3.15389e-21,2.17613e-27
0.2022221995,3.16485e-21,1.7611e-19,3.16484e-21,2.23392e-27
0.2023286323,3.17582e-21,1.75843e-19,3.17582e-21,3.15798e-27
0.202435121,3.18683e-21,1.75577e-19,3.18683e-21,3.96138e-27
0.2025416658,3.19787e-21,1.75311e-19,3.19786e-21,4.83474e-27
0.2026482667,3.20893e-21,1.75045e-19,3.20893e-21,5.49395e-27
0.2027549237,3.22003e-21,1.74781e-19,3.22002e-21,6.13958e-27
0.2028616368,3.23115e-21,1.74516e-19,3.23114e-21,7.11515e-27
0.2029684061,3.2423e-21,1.74252e-19,3.24229e-21,8.21301e-27
0.2030752316,3.25348e-21,1.73989e-19,3.25347e-21,9.5162e-27
0.2031821133,3.26469e-21,1.73726e-19,3.26468e-21,1.02891e-26
0.2032890512,3.27593e-21,1.73463e-19,3.27592e-21,1.08415e-26
0.2033960455,3.2872e-21,1.73201e-19,3.28719e-21,8.7611e-27
0.203503096,3.29849e-21,1.72939e-19,3.29849e-21,3.74865e-27
0.2036102029,3.30981e-21,1.72678e-19,3.30981e-21,2.85047e-27
0.2037173662,3.32117e-21,1.72418e-19,3.32117e-21,3.72492e-27
0.2038245858,3.33255e-21,1.72157e-19,3.33255e-21,4.2162e-27
0.2039318619,3.34397e-21,1.71898e-19,3.34396e-21,4.80022e-27
0.2040391945,3.35541e-21,1.71638e-19,3.35541e-21,4.63536e-27
0.2041465835,3.36688e-21,1.7138e-19,3.36688e-21,4.29164e-27
0.2042540291,3.37838e-21,1.71121e-19,3.37838e-21,3.30295e-27
0.2043615312,3.38991e-21,1.70864e-19,3.38991e-21,2.13267e-27
0.2044690899,3.40147e-21,1.70606e-19,3.40147e-21,1.37239e-27
0.2045767052,3.41306e-21,1.70349e-19,3.41306e-21,1.20519e-27
0.2046843772,3.42468e-21,1.70093e-19,3.42468e-21,1.18166e-27
0.2047921058,3.43633e-21,1.69837e-19,3.43633e-21,1.11657e-27
0.2048998911,3.44801e-21,1.69581e-19,3.44801e-21,1.05385e-27
0.2050077332,3.45972e-21,1.69326e-19,3.45972e-21,1.02942e-27
0.205115632,3.47146e-21,1.69072e-19,3.47146e-21,1.13377e-27
0.2052235876,3.48322e-21,1.68818e-19,3.48322e-21,1.26092e-27
0.2053316,3.49502e-21,1.68564e-19,3.49502e-21,1.57533e-27
0.2054396693,3.50685e-21,1.68311e-19,3.50685e-21,2.29937e-27
0.2055477954,3.51871e-21,1.68058e-19,3.51871e-21,3.16778e-27
0.2056559784,3.5306e-21,1.67806e-19,3.53059e-21,4.09176e-27
0.2057642184,3.54252e-21,1.67554e-19,3.54251e-21,5.30301e-27
0.2058725154,3.55446e-21,1.67302e-19,3.55446e-21,6.22677e-27
0.2059808694,3.56644e-21,1.67051e-19,3.56644e-21,7.24464e-27
0.2060892803,3.57845e-21,1.66801e-19,3.57844e-21,8.89031e-27
0.2061977484,3.59049e-21,1.66551e-19,3.59048e-21,1.0732e-26
0.2063062735,3.60256e-21,1.66301e-19,3.60255e-21,1.23098e-26
0.2064148558,3.61466e-21,1.66052e-19,3.61465e-21,1.42074e-26
0.2065234952,3.62679e-21,1.65804e-19,3.62678e-21,1.29294e-26
0.2066321917,3.63894e-21,1.65555e-19,3.63893e-21,6.42228e-27
0.2067409455,3.65113e-21,1.65307e-19,3.65112e-21,4.14251e-27
0.2068497565,3.66335e-21,1.6506e-19,3.66334e-21,4.34938e-27
0.2069586248,3.6756e-21,1.64813e-19,3.67559e-21,5.79203e-27
0.2070675504,3.68788e-21,1.64567e-19,3.68787e-21,6.84528e-27
0.2071765333,3.70019e-21,1.64321e-19,3.70018e-21,8.14115e-27
0.2072855736,3.71253e-21,1.64075e-19,3.71252e-21,9.47431e-27
0.2073946713,3.7249e-21,1.6383e-19,3.72489e-21,1.08945e-26
0.2075038264,3.73731e-21,1.63585e-19,3.73729e-21,1.25671e-26
0.2076130389,3.74974e-21,1.63341e-19,3.74973e-21,1.39756e-26
0.2077223089,3.76221e-21,1.63097e-19,3.76219e-21,1.52295e-26
0.2078316365,3.7747e-21,1.62854e-19,3.77468e-21,1.50116e-26
0.2079410216,3.78722e-21,1.62611e-19,3.78721e-21,1.38256e-26
0.2080504642,3.79978e-21,1.62368e-19,3.79976e-21,1.20193e-26
0.2081599644,3.81236e-21,1.62126e-19,3.81235e-21,6.8897e-27
0.2082695223,3.82497e-21,1.61884e-19,3.82497e-21,2.1919e-27
0.2083791379,3.83761e-21,1.61643e-19,3.83761e-21,1.38592e-27
0.2084888111,3.85029e-21,1.61402e-19,3.85029e-21,2.1229e-27
0.208598542,3.863e-21,1.61162e-19,3.863e-21,2.14223e-27
0.2087083307,3.87574e-21,1.60922e-19,3.87574e-21,1.75647e-27
0.2088181772,3.88851e-21,1.60682e-19,3.88851e-21,2.0662e-27
0.2089280815,3.90132e-21,1.60443e-19,3.90131e-21,2.67951e-27
0.2090380437,3.91415e-21,1.60205e-19,3.91415e-21,3.59258e-27
0.2091480637,3.92702e-21,1.59966e-19,3.92701e-21,4.58472e-27
0.2092581416,3.93991e-21,1.59729e-19,3.93991e-21,6.14553e-27
0.2093682775,3.95284e-21,1.59491e-19,3.95283e-21,7.85511e-27
0.2094784713,3.9658e-21,1.59254e-19,3.96579e-21,9.91478e-27
0.2095887232,3.97879e-21,1.59018e-19,3.97878e-21,1.35114e-26
0.209699033,3.99182e-21,1.58782e-19,3.9918e-21,1.64334e-26
0.2098094009,4.00487e-21,1.58546e-19,4.00485e-21,1.66201e-26
0.2099198269,4.01795e-21,1.5831e-19,4.01794e-21,9.13802e-27
0.210030311,4.03106e-21,1.58076e-19,4.03105e-21,8.04767e-27
0.2101408533,4.0442e-21,1.57841e-19,4.0442e-21,6.63723e-27
0.2102514538,4.05738e-21,1.57607e-19,4.05737e-21,6.67846e-27
0.2103621124,4.07059e-21,1.57373e-19,4.07058e-21,9.08608e-27
0.2104728293,4.08383e-21,1.5714e-19,4.08382e-21,1.15564e-26
0.2105836045,4.09711e-21,1.56907e-19,4.09709e-21,1.35179e-26
0.210694438,4.11041e-21,1.56675e-19,4.1104e-21,1.6525e-26
0.2108053298,4.12375e-21,1.56443e-19,4.12373e-21,1.88756e-26
0.21091628,4.13712e-21,1.56211e-19,4.1371e-21,2.14347e-26
0.2110272885,4.15052e-21,1.5598e-19,4.1505e-21,2.56372e-26
0.2111383555,4.16396e-21,1.55749e-19,4.16393e-21,3.19176e-26
0.211249481,4.17742e-21,1.55519e-19,4.17739e-21,3.58925e-26
0.2113606649,4.19092e-21,1.55289e-19,4.19088e-21,3.92515e-26
0.2114719074,4.20444e-21,1.55059e-19,4.20441e-21,3.67362e-26
0.2115832084,4.21798e-21,1.5483e-19,4.21796e-21,1.99782e-26
0.2116945679,4.23156e-21,1.54602e-19,4.23155e-21,8.0608e-27
0.2118059861,4.24518e-21,1.54373e-19,4.24517e-21,8.33751e-27
0.211917463,4.25883e-21,1.54145e-19,4.25883e-21,9.33046e-27
0.2120289985,4.27252e-21,1.53918e-19,4.27251e-21,8.94149e-27
0.2121405927,4.28623e-21,1.53691e-19,4.28623e-21,7.14161e-27
0.2122522456,4.29998e-21,1.53464e-19,4.29998e-21,5.67192e-27
0.2123639573,4.31376e-21,1.53238e-19,4.31376e-21,7.05391e-27
0.2124757278,4.32758e-21,1.53012e-19,4.32757e-21,9.23542e-27
0.2125875572,4.34142e-21,1.52786e-19,4.34141e-21,8.27025e-27
