system_id,H2O,CO2,O2,O3,CH4,N2,N2O,CO,H2,H2S,SO2,NH3,stellar_type,stellar_teff,stellar_radius,planet_radius,planet_mass,surface_gravity,orbital_distance,surface_pressure,snr_mean,snr_max,rp_rs_sq,retrieval_quality
21,0.0,-0.6482907386402814,-1.0422886485266383,-6.2708250529216345,-5.386391550536825,,,,,,,,K,4516.8,,0.03667637560756188,,,,,1.1896536098863884,4.4477678216378145,0.00134515652770696,0
110,-3.6944908860300525,-2.8647101173336997,-2.328408374815999,-6.406876903563891,-5.52244340117908,,,,,,,,K,4712.1,,0.04876069783137432,,,,,4.574227123745412,10.554237233039691,0.0023776056530025926,0
210,-1.3963606469163288,-4.391827782905141,-2.059972138742886,-6.57694230338119,-5.69250880099638,,,,,,,,M,3674.8,,0.0696105109029454,,,,,0.20323367068102902,0.8228109236221646,0.004845623228169081,0
211,-3.322186998399316,-2.3997382175909148,-2.2607858637728735,-6.091850537107113,-4.331962359886694,,,,,,,,K,4753.4,,0.025216354799059055,,,,,2.862906451336791,5.9456311382010885,0.0006358645493520287,0
212,-3.6742804115558774,-4.187646069603813,-1.9696734722463982,-6.389775732854973,-5.505342230470163,,,,,,,,K,3710.6,,0.04704607466631817,,,,,0.19902680378710436,0.6570593817787419,0.0022133331415087843,0
213,-0.8420835874502658,-2.1364887579280287,-1.8267829326767973,-5.682688380576744,-4.798254878191933,,,,,,,,K,4585.5,,0.010708205808761044,,,,,3.147002120844118,6.701680274299569,0.00011466567164278376,0
214,-0.980915200442621,-2.9254254797844954,-1.8070563645467888,-5.232740192187265,-4.348306689802454,,,,,,,,K,5069.8,,0.0041751578741013595,,,,,5.206016040267437,9.882559243231068,1.7431943273670585e-05,0
215,-3.623377091230423,-4.140658389303394,-0.9351294359765994,-6.346703692579588,-5.462270190194778,,,,,,,,K,4329.7,,0.04298995527096472,,,,,0.7671220381170875,5.846512449826233,0.0018481362541995473,0
216,0.0,-0.6118633620197291,-0.6401482844538846,-5.85547004118479,-4.9710365387999795,,,,,,,,K,4571.8,,0.015374144071306576,,,,,2.5535028844806433,7.509988023114515,0.00023636430592529115,0
217,-3.682518385694187,-2.1605152314919396,-1.8781988626116595,-6.39674632635662,-5.5123128239718096,,,,,,,,K,4478.2,,0.04773756873352061,,,,,1.2444140810788404,2.984699932966071,0.0022788754685876046,0
218,-3.2531922229475496,-2.136758043203106,-2.1991261031913205,-6.0334703424940805,-5.14903684010927,,,,,,,,K,4566.3,,0.022315642856458415,,,,,0.9224534378306535,2.2148831148597448,0.0004979879160970035,0
219,-0.8902791488648981,-1.7816438798172056,-1.919361055139956,-5.97035968723382,-5.0859261848490105,,,,,,,,M,3391.4,,0.019554021092065957,,,,,0.1755017189917058,0.6472031703817755,0.00038235974086896034,0
1100,-1.2410790143889967,-3.145429008816093,-1.976053099608946,-6.4554450994484815,-5.571011597063672,,,,,,,,K,4354.4,,0.053978749305730364,,,,,1.0212877850211894,3.413228226605845,0.0029137053766108865,0
1108,-3.953656212727186,-4.4455314245311754,-2.809161755218185,-6.626170641538389,-5.741737139153578,,,,,,,,M,3399.7,,0.07716633179030928,,,,,0.15821656638329376,0.5771365251474412,0.005954642761972096,0
2100,-1.0867302341179812,-2.1515159855017716,-1.0863011168154426,-6.34941199897692,-5.46497849659211,,,,,,,,M,3548.3,,0.04323436552494773,,,,,0.25602631370426004,2.2588861493053054,0.0018692103623447883,0
2101,-1.3855261686037474,-2.007855140038233,-1.0079984185054385,-5.989243987755839,-5.104810485371029,,,,,,,,K,4580.0,,0.0203424672382518,,,,,2.029031950917382,6.190790122644922,0.00041381597333934786,0
2102,-1.1325291135922195,-0.6265841599264743,-1.0947132144060658,-5.965221738013647,-2.587788906881265,,,,,,,,K,4522.3,,0.019344843310770785,,,,,2.844950928269116,6.480912095373626,0.00037422296271827317,0
