wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,1.55883e-20,4.08965e-18,1.55883e-20,6.00397e-26
0.2001052632,1.56529e-20,4.08341e-18,1.56529e-20,6.1482e-26
0.2002105817,1.5726e-20,4.07717e-18,1.5726e-20,6.23758e-26
0.2003159557,1.57994e-20,4.07095e-18,1.57994e-20,3.78415e-26
0.2004213852,1.58731e-20,4.06475e-18,1.58731e-20,7.24306e-27
0.2005268701,1.59471e-20,4.05855e-18,1.59471e-20,5.87068e-27
0.2006324106,1.60214e-20,4.05236e-18,1.60213e-20,8.10743e-27
0.2007380066,1.60959e-20,4.04619e-18,1.60959e-20,8.44684e-27
0.2008436581,1.61708e-20,4.04003e-18,1.61708e-20,9.34651e-27
0.2009493653,1.6246e-20,4.03388e-18,1.6246e-20,1.00793e-26
0.2010551282,1.63215e-20,4.02773e-18,1.63215e-20,1.32248e-26
0.2011609466,1.63973e-20,4.02161e-18,1.63973e-20,1.75939e-26
0.2012668208,1.64734e-20,4.01549e-18,1.64734e-20,2.10278e-26
0.2013727507,1.65498e-20,4.00938e-18,1.65498e-20,2.43684e-26
0.2014787364,1.66265e-20,4.00329e-18,1.66264e-20,2.8724e-26
0.2015847778,1.67035e-20,3.9972e-18,1.67034e-20,3.65326e-26
0.2016908751,1.67808e-20,3.99113e-18,1.67808e-20,3.84362e-26
0.2017970282,1.68584e-20,3.98507e-18,1.68584e-20,2.47302e-26
0.2019032371,1.69363e-20,3.97901e-18,1.69363e-20,1.74768e-26
0.202009502,1.70146e-20,3.97297e-18,1.70145e-20,1.65906e-26
0.2021158228,1.70931e-20,3.96695e-18,1.70931e-20,8.70831e-27
0.2022221995,1.71719e-20,3.96093e-18,1.71719e-20,7.56462e-27
0.2023286323,1.72511e-20,3.95492e-18,1.72511e-20,1.47846e-26
0.202435121,1.73306e-20,3.94892e-18,1.73306e-20,2.15107e-26
0.2025416658,1.74104e-20,3.94294e-18,1.74104e-20,2.87421e-26
0.2026482667,1.74905e-20,3.93697e-18,1.74905e-20,3.35658e-26
0.2027549237,1.7571e-20,3.931e-18,1.75709e-20,3.81467e-26
0.2028616368,1.76517e-20,3.92505e-18,1.76517e-20,4.75633e-26
0.2029684061,1.77328e-20,3.91911e-18,1.77327e-20,5.88244e-26
0.2030752316,1.78142e-20,3.91318e-18,1.78141e-20,7.49747e-26
0.2031821133,1.78959e-20,3.90726e-18,1.78958e-20,8.76371e-26
0.2032890512,1.7978e-20,3.90135e-18,1.79779e-20,1.02699e-25
0.2033960455,1.80603e-20,3.89545e-18,1.80602e-20,6.8613e-26
0.203503096,1.81429e-20,3.88956e-18,1.81429e-20,1.44563e-26
0.2036102029,1.82259e-20,3.88368e-18,1.82259e-20,7.10552e-27
0.2037173662,1.83092e-20,3.87782e-18,1.83092e-20,1.32437e-26
0.2038245858,1.83929e-20,3.87196e-18,1.83928e-20,1.843e-26
0.2039318619,1.84768e-20,3.86612e-18,1.84768e-20,2.62399e-26
0.2040391945,1.85612e-20,3.86028e-18,1.85611e-20,3.03598e-26
0.2041465835,1.86458e-20,3.85446e-18,1.86458e-20,3.79567e-26
0.2042540291,1.87308e-20,3.84864e-18,1.87307e-20,4.24733e-26
0.2043615312,1.88161e-20,3.84284e-18,1.8816e-20,4.10209e-26
0.2044690899,1.89017e-20,3.83705e-18,1.89017e-20,3.76103e-26
0.2045767052,1.89877e-20,3.83126e-18,1.89876e-20,3.52811e-26
0.2046843772,1.9074e-20,3.82549e-18,1.90739e-20,3.72528e-26
0.2047921058,1.91606e-20,3.81973e-18,1.91606e-20,4.00589e-26
0.2048998911,1.92476e-20,3.81398e-18,1.92475e-20,2.84068e-26
0.2050077332,1.93349e-20,3.80824e-18,1.93348e-20,1.35124e-26
0.205115632,1.94225e-20,3.80251e-18,1.94225e-20,1.06407e-26
0.2052235876,1.95105e-20,3.79679e-18,1.95105e-20,8.17277e-27
0.2053316,1.95988e-20,3.79108e-18,1.95988e-20,9.39619e-27
0.2054396693,1.96875e-20,3.78538e-18,1.96875e-20,1.76685e-26
0.2055477954,1.97765e-20,3.77969e-18,1.97765e-20,2.73921e-26
0.2056559784,1.98659e-20,3.77401e-18,1.98659e-20,3.62879e-26
0.2057642184,1.99556e-20,3.76834e-18,1.99556e-20,4.83347e-26
0.2058725154,2.00457e-20,3.76269e-18,2.00456e-20,5.38095e-26
0.2059808694,2.01361e-20,3.75704e-18,2.0136e-20,6.05086e-26
0.2060892803,2.02268e-20,3.7514e-18,2.02268e-20,7.75777e-26
0.2061977484,2.0318e-20,3.74577e-18,2.03179e-20,9.67765e-26
0.2063062735,2.04094e-20,3.74015e-18,2.04093e-20,1.09986e-25
0.2064148558,2.05012e-20,3.73455e-18,2.05011e-20,1.26648e-25
0.2065234952,2.05934e-20,3.72895e-18,2.05933e-20,9.74912e-26
0.2066321917,2.06858e-20,3.72336e-18,2.06858e-20,2.6393e-26
0.2067409455,2.07787e-20,3.71778e-18,2.07786e-20,1.17057e-26
0.2068497565,2.08719e-20,3.71221e-18,2.08719e-20,1.22705e-26
0.2069586248,2.09655e-20,3.70666e-18,2.09654e-20,2.09566e-26
0.2070675504,2.10594e-20,3.70111e-18,2.10594e-20,2.82642e-26
0.2071765333,2.11537e-20,3.69557e-18,2.11537e-20,3.81228e-26
0.2072855736,2.12484e-20,3.69004e-18,2.12483e-20,4.95887e-26
0.2073946713,2.13434e-20,3.68452e-18,2.13433e-20,6.32265e-26
