wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,9.47636e-26,3.11039e-19,9.47344e-26,2.91894e-29
0.2001052632,9.73043e-26,3.10564e-19,9.72845e-26,1.98576e-29
0.2002105817,1.19654e-25,3.1009e-19,1.19633e-25,2.15824e-29
0.2003159557,1.02135e-25,3.09617e-19,1.02121e-25,1.38973e-29
0.2004213852,9.70264e-26,3.09144e-19,9.70201e-26,6.28607e-30
0.2005268701,1.22057e-25,3.08673e-19,1.22051e-25,5.52661e-30
0.2006324106,8.84186e-26,3.08202e-19,8.84147e-26,3.92028e-30
0.2007380066,8.81471e-26,3.07733e-19,8.81439e-26,3.13172e-30
0.2008436581,1.12608e-25,3.07264e-19,1.12605e-25,3.3672e-30
0.2009493653,9.8765e-26,3.06796e-19,9.8762e-26,3.00789e-30
0.2010551282,1.14308e-25,3.06328e-19,1.14304e-25,3.53926e-30
0.2011609466,9.92577e-26,3.05862e-19,9.92537e-26,3.92339e-30
0.2012668208,1.32255e-25,3.05397e-19,1.32249e-25,5.43301e-30
0.2013727507,1.05944e-25,3.04932e-19,1.05938e-25,5.60307e-30
0.2014787364,1.15651e-25,3.04468e-19,1.15643e-25,7.08393e-30
0.2015847778,1.1953e-25,3.04005e-19,1.19521e-25,9.04473e-30
0.2016908751,1.15911e-25,3.03543e-19,1.15901e-25,1.03417e-29
0.2017970282,1.13577e-25,3.03082e-19,1.13566e-25,1.01884e-29
0.2019032371,1.24935e-25,3.02622e-19,1.24924e-25,1.09129e-29
0.202009502,1.21061e-25,3.02162e-19,1.2105e-25,1.12713e-29
0.2021158228,1.05304e-25,3.01703e-19,1.05295e-25,8.55831e-30
0.2022221995,9.66171e-26,3.01246e-19,9.66092e-26,7.8935e-30
0.2023286323,1.0048e-25,3.00788e-19,1.00469e-25,1.12328e-29
0.202435121,1.11123e-25,3.00332e-19,1.11108e-25,1.47953e-29
0.2025416658,1.00384e-25,2.99877e-19,1.00369e-25,1.53898e-29
0.2026482667,4.19634e-26,2.99422e-19,4.1952e-26,1.14124e-29
0.2027549237,1.11505e-25,2.98969e-19,1.11484e-25,2.08203e-29
0.2028616368,1.0769e-25,2.98516e-19,1.07665e-25,2.49744e-29
0.2029684061,1.12739e-25,2.98064e-19,1.12709e-25,2.98409e-29
0.2030752316,1.31299e-25,2.97612e-19,1.3126e-25,3.94672e-29
0.2031821133,1.37937e-25,2.97162e-19,1.37892e-25,4.54398e-29
0.2032890512,1.45474e-25,2.96712e-19,1.45424e-25,4.93884e-29
0.2033960455,1.03319e-25,2.96264e-19,1.03288e-25,3.10274e-29
0.203503096,1.32577e-25,2.95816e-19,1.32561e-25,1.51428e-29
