wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,2.34429e-24,1.21262e-19,2.34427e-24,1.62266e-29
0.2001052632,2.20539e-24,1.21077e-19,2.20538e-24,1.1936e-29
0.2002105817,3.7467e-24,1.20892e-19,3.74668e-24,1.66172e-29
0.2003159557,2.64563e-24,1.20707e-19,2.64562e-24,8.69004e-30
0.2004213852,2.32417e-24,1.20523e-19,2.32417e-24,2.25656e-30
0.2005268701,3.41764e-24,1.20339e-19,3.41764e-24,2.02002e-30
0.2006324106,2.47813e-24,1.20156e-19,2.47813e-24,1.49415e-30
0.2007380066,2.00538e-24,1.19973e-19,2.00538e-24,9.9178e-31
0.2008436581,2.79213e-24,1.1979e-19,2.79212e-24,1.11336e-30
0.2009493653,2.6545e-24,1.19607e-19,2.6545e-24,1.0746e-30
0.2010551282,3.07201e-24,1.19425e-19,3.07201e-24,1.36792e-30
0.2011609466,2.05307e-24,1.19244e-19,2.05307e-24,1.48109e-30
0.2012668208,3.65446e-24,1.19062e-19,3.65446e-24,2.62983e-30
0.2013727507,2.56432e-24,1.18881e-19,2.56432e-24,2.72217e-30
0.2014787364,3.0628e-24,1.187e-19,3.0628e-24,3.91684e-30
0.2015847778,3.26521e-24,1.1852e-19,3.26521e-24,5.63385e-30
0.2016908751,3.31338e-24,1.1834e-19,3.31337e-24,6.67192e-30
0.2017970282,2.54267e-24,1.1816e-19,2.54267e-24,5.13813e-30
0.2019032371,3.39039e-24,1.1798e-19,3.39038e-24,5.50645e-30
0.202009502,3.25836e-24,1.17801e-19,3.25836e-24,5.62299e-30
0.2021158228,2.62257e-24,1.17622e-19,2.62256e-24,3.3141e-30
0.2022221995,2.16901e-24,1.17444e-19,2.16901e-24,2.6713e-30
0.2023286323,2.27893e-24,1.17266e-19,2.27893e-24,4.63005e-30
0.202435121,2.7659e-24,1.17088e-19,2.7659e-24,7.15567e-30
0.2025416658,2.60757e-24,1.1691e-19,2.60757e-24,8.24351e-30
0.2026482667,1.14487e-24,1.16733e-19,1.14487e-24,6.44561e-30
0.2027549237,2.91065e-24,1.16556e-19,2.91064e-24,1.16789e-29
0.2028616368,2.56115e-24,1.16379e-19,2.56114e-24,1.33629e-29
0.2029684061,2.46507e-24,1.16203e-19,2.46505e-24,1.54263e-29
0.2030752316,3.26456e-24,1.16027e-19,3.26454e-24,2.38018e-29
0.2031821133,3.9519e-24,1.15852e-19,3.95187e-24,3.13341e-29
0.2032890512,3.81386e-24,1.15676e-19,3.81383e-24,3.32074e-29
0.2033960455,2.46222e-24,1.15501e-19,2.4622e-24,1.80684e-29
0.203503096,3.36473e-24,1.15327e-19,3.36472e-24,6.5561e-30
0.2036102029,3.91854e-24,1.15152e-19,3.91853e-24,5.03121e-30
0.2037173662,3.63522e-24,1.14978e-19,3.63522e-24,7.26396e-30
0.2038245858,3.44894e-24,1.14805e-19,3.44893e-24,8.15616e-30
0.2039318619,2.7103e-24,1.14631e-19,2.7103e-24,8.78222e-30
0.2040391945,3.36864e-24,1.14458e-19,3.36863e-24,1.03662e-29
0.2041465835,3.19388e-24,1.14285e-19,3.19387e-24,1.0879e-29
0.2042540291,4.28753e-24,1.14113e-19,4.28752e-24,1.17336e-29
0.2043615312,3.67512e-24,1.13941e-19,3.67511e-24,7.70035e-30
0.2044690899,3.93949e-24,1.13769e-19,3.93949e-24,5.43502e-30
0.2045767052,4.15496e-24,1.13598e-19,4.15496e-24,5.0941e-30
0.2046843772,4.77456e-24,1.13426e-19,4.77456e-24,5.53889e-30
0.2047921058,4.26487e-24,1.13255e-19,4.26487e-24,4.99535e-30
0.2048998911,3.72528e-24,1.13085e-19,3.72528e-24,3.7643e-30
0.2050077332,3.52144e-24,1.12915e-19,3.52144e-24,2.69841e-30
0.205115632,3.65701e-24,1.12745e-19,3.657e-24,2.77343e-30
0.2052235876,4.23314e-24,1.12575e-19,4.23314e-24,3.01878e-30
0.2053316,3.88207e-24,1.12406e-19,3.88206e-24,3.61474e-30
0.2054396693,4.20444e-24,1.12236e-19,4.20444e-24,6.31374e-30
0.2055477954,3.85335e-24,1.12068e-19,3.85334e-24,8.65891e-30
0.2056559784,3.50287e-24,1.11899e-19,3.50286e-24,1.08233e-29
0.2057642184,4.35875e-24,1.11731e-19,4.35873e-24,1.6417e-29
0.2058725154,3.69115e-24,1.11563e-19,3.69113e-24,1.79906e-29
0.2059808694,4.72746e-24,1.11396e-19,4.72743e-24,2.34464e-29
0.2060892803,3.9371e-24,1.11228e-19,3.93707e-24,2.5553e-29
0.2061977484,3.48336e-24,1.11061e-19,3.48334e-24,2.76485e-29
0.2063062735,3.63677e-24,1.10895e-19,3.63673e-24,3.27258e-29
0.2064148558,4.29136e-24,1.10728e-19,4.29131e-24,4.27291e-29
0.2065234952,4.39537e-24,1.10562e-19,4.39534e-24,3.67461e-29
0.2066321917,3.20094e-24,1.10397e-19,3.20093e-24,1.14151e-29
0.2067409455,4.41374e-24,1.10231e-19,4.41374e-24,7.41699e-30
0.2068497565,4.00701e-24,1.10066e-19,4.007e-24,7.65757e-30
0.2069586248,3.99279e-24,1.09901e-19,3.99278e-24,1.14701e-29
0.2070675504,4.86166e-24,1.09737e-19,4.86165e-24,1.67991e-29
0.2071765333,5.56284e-24,1.09572e-19,5.56282e-24,2.34253e-29
0.2072855736,4.80069e-24,1.09408e-19,4.80067e-24,2.58978e-29
0.2073946713,5.01859e-24,1.09245e-19,5.01856e-24,3.12658e-29
0.2075038264,4.79441e-24,1.09081e-19,4.79437e-24,3.70491e-29
0.2076130389,5.39914e-24,1.08918e-19,5.39909e-24,4.71973e-29
0.2077223089,5.69069e-24,1.08755e-19,5.69063e-24,5.61427e-29
0.2078316365,4.93483e-24,1.08593e-19,4.93478e-24,5.35662e-29
0.2079410216,6.33124e-24,1.08431e-19,6.33118e-24,6.0327e-29
0.2080504642,5.86021e-24,1.08269e-19,5.86016e-24,5.57942e-29
0.2081599644,5.25539e-24,1.08107e-19,5.25536e-24,3.11207e-29
0.2082695223,6.2399e-24,1.07946e-19,6.23989e-24,9.07145e-30
0.2083791379,5.75274e-24,1.07784e-19,5.75273e-24,4.50119e-30
0.2084888111,3.88328e-24,1.07624e-19,3.88327e-24,5.57338e-30
0.208598542,5.33676e-24,1.07463e-19,5.33675e-24,7.07524e-30
0.2087083307,7.07972e-24,1.07303e-19,7.07971e-24,8.02634e-30
0.2088181772,5.43866e-24,1.07143e-19,5.43865e-24,8.46651e-30
0.2089280815,5.60059e-24,1.06983e-19,5.60057e-24,1.17548e-29
0.2090380437,7.05258e-24,1.06824e-19,7.05256e-24,1.8653e-29
0.2091480637,5.81297e-24,1.06665e-19,5.81295e-24,2.12486e-29
0.2092581416,5.84362e-24,1.06506e-19,5.84359e-24,2.90009e-29
0.2093682775,9.09302e-24,1.06348e-19,9.09297e-24,4.81012e-29
0.2094784713,5.93459e-24,1.06189e-19,5.93454e-24,4.71862e-29
0.2095887232,7.2147e-24,1.06031e-19,7.21463e-24,7.01062e-29
0.209699033,7.9499e-24,1.05874e-19,7.9498e-24,1.04017e-28
0.2098094009,1.60071e-23,1.05716e-19,1.60069e-23,1.51919e-28
0.2099198269,1.15386e-23,1.05559e-19,1.15385e-23,5.29649e-29
0.210030311,8.37581e-24,1.05402e-19,8.37577e-24,3.4845e-29
0.2101408533,1.02847e-23,1.05246e-19,1.02847e-23,3.54996e-29
0.2102514538,3.3276e-23,1.0509e-19,3.32759e-23,7.46219e-29
0.2103621124,7.7415e-24,1.04933e-19,7.74146e-24,4.52606e-29
0.2104728293,2.17687e-23,1.04778e-19,2.17686e-23,1.09899e-28
0.2105836045,2.90949e-23,1.04622e-19,2.90947e-23,1.55951e-28
0.210694438,9.88896e-24,1.04467e-19,9.88886e-24,9.92151e-29
0.2108053298,2.02986e-23,1.04312e-19,2.02984e-23,1.52948e-28
0.21091628,4.70998e-24,1.04157e-19,4.70989e-24,9.28501e-29
0.2110272885,1.66394e-23,1.04003e-19,1.66392e-23,1.93929e-28
0.2111383555,1.90913e-23,1.03849e-19,1.9091e-23,3.27859e-28
0.211249481,3.88713e-23,1.03695e-19,3.88707e-23,6.13529e-28
0.2113606649,1.5349e-23,1.03541e-19,1.53487e-23,3.52034e-28
0.2114719074,1.7279e-23,1.03388e-19,1.72787e-23,2.9205e-28
0.2115832084,1.20816e-23,1.03235e-19,1.20815e-23,1.30719e-28
0.2116945679,2.9801e-23,1.03083e-19,2.98009e-23,9.56362e-29
0.2118059861,3.60229e-23,1.0293e-19,3.60228e-23,1.07453e-28
0.211917463,1.25323e-23,1.02778e-19,1.25323e-23,7.21475e-29
0.2120289985,3.57711e-23,1.02626e-19,3.5771e-23,1.41809e-28
0.2121405927,3.6411e-23,1.02474e-19,3.64109e-23,1.2779e-28
0.2122522456,1.63498e-23,1.02322e-19,1.63497e-23,6.27265e-29
0.2123639573,5.06374e-24,1.02171e-19,5.06371e-24,2.71654e-29
0.2124757278,2.55123e-24,1.0202e-19,2.55121e-24,1.81628e-29
0.2125875572,9.13009e-24,1.0187e-19,9.13004e-24,5.07657e-29
0.2126994454,2.24718e-23,1.01719e-19,2.24717e-23,9.69859e-29
0.2128113924,1.87827e-23,1.01569e-19,1.87825e-23,1.146e-28
0.2129233984,2.96126e-23,1.0142e-19,2.96124e-23,1.91451e-28
0.2130354634,1.14636e-23,1.0127e-19,1.14634e-23,1.49627e-28
0.2131475873,2.72396e-23,1.01121e-19,2.72394e-23,2.28733e-28
0.2132597703,2.49017e-23,1.00972e-19,2.49015e-23,1.53636e-28
0.2133720122,2.72358e-23,1.00823e-19,2.72357e-23,1.21545e-28
0.2134843133,1.16434e-23,1.00674e-19,1.16434e-23,5.8303e-29
0.2135966735,1.7085e-23,1.00526e-19,1.70849e-23,8.26922e-29
0.2137090928,2.71878e-23,1.00378e-19,2.71876e-23,1.48099e-28
0.2138215712,2.83075e-23,1.0023e-19,2.83073e-23,1.75171e-28
0.2139341089,1.01301e-23,1.00082e-19,1.013e-23,1.10748e-28
0.2140467058,1.3994e-23,9.99352e-20,1.39939e-23,1.40003e-28
0.214159362,3.77358e-23,9.97886e-20,3.77355e-23,2.84843e-28
0.2142720774,2.7073e-23,9.96417e-20,2.70727e-23,2.85301e-28
0.2143848522,4.05771e-23,9.94954e-20,4.05767e-23,4.80766e-28
0.2144976863,3.75014e-23,9.93491e-20,3.75008e-23,5.43692e-28
0.2146105798,2.08969e-23,9.92029e-20,2.08965e-23,3.65778e-28
0.2147235328,1.81648e-23,9.90571e-20,1.81645e-23,3.4009e-28
0.2148365452,2.74134e-23,9.89118e-20,2.74128e-23,5.08693e-28
0.214949617,2.75974e-23,9.87666e-20,2.7597e-23,4.39453e-28
0.2150627484,2.65316e-23,9.86113e-20,2.65314e-23,2.06504e-28
0.2151759393,1.35115e-23,9.84478e-20,1.35114e-23,9.50561e-29
0.2152891898,2.91793e-23,9.82852e-20,2.91791e-23,1.56276e-28
0.2154024999,3.61196e-23,9.81227e-20,3.61193e-23,2.65633e-28
0.2155158697,3.25799e-23,9.79604e-20,3.25796e-23,3.08082e-28
0.2156292991,2.68878e-23,9.77985e-20,2.68875e-23,2.79178e-28
0.2157427882,3.30765e-23,9.7637e-20,3.30762e-23,3.26369e-28
0.215856337,2.34694e-23,9.74756e-20,2.34692e-23,2.84169e-28
0.2159699456,1.34275e-23,9.73145e-20,1.34273e-23,2.41743e-28
0.216083614,4.46686e-23,9.71545e-20,4.46681e-23,5.23528e-28
0.2161973422,2.22165e-23,9.69939e-20,2.22162e-23,3.41535e-28
0.2163111303,3.67242e-23,9.68342e-20,3.67237e-23,4.08667e-28
0.2164249783,2.48889e-23,9.66745e-20,2.48886e-23,3.24383e-28
0.2165388861,1.84347e-23,9.65151e-20,1.84345e-23,2.59605e-28
0.216652854,1.21947e-23,9.63561e-20,1.21946e-23,1.5594e-28
0.2167668818,9.3416e-24,9.61974e-20,9.34153e-24,7.69376e-29
0.2168809696,1.73766e-23,9.60393e-20,1.73765e-23,9.15024e-29
0.2169951175,2.65472e-23,9.58815e-20,2.65471e-23,1.31232e-28
0.2171093255,3.56163e-23,9.57241e-20,3.56161e-23,1.79363e-28
0.2172235935,2.68916e-23,9.55666e-20,2.68914e-23,1.80661e-28
0.2173379217,2.59464e-23,9.54096e-20,2.59462e-23,2.04797e-28
0.2174523101,1.93425e-23,9.52528e-20,1.93423e-23,2.03858e-28
0.2175667587,1.04264e-23,9.50964e-20,1.04262e-23,1.73518e-28
0.2176812675,2.51897e-23,9.49406e-20,2.51894e-23,3.14628e-28
0.2177958366,1.22932e-23,9.47847e-20,1.2293e-23,2.0688e-28
0.217910466,1.16357e-23,9.46293e-20,1.16355e-23,2.14131e-28
0.2180251557,1.98596e-23,9.44744e-20,1.98592e-23,3.48208e-28
0.2181399058,4.7655e-23,9.43201e-20,4.76543e-23,7.25683e-28
0.2182547163,4.38105e-23,9.41656e-20,4.38097e-23,8.39769e-28
0.2183695872,5.32212e-23,9.40116e-20,5.32202e-23,9.98593e-28
0.2184845185,2.59713e-23,9.38573e-20,2.59707e-23,5.37934e-28
0.2185995104,3.45548e-23,9.3704e-20,3.45544e-23,3.57878e-28
0.2187145628,2.13488e-23,9.35506e-20,2.13486e-23,1.52351e-28
0.2188296757,2.41721e-23,9.33978e-20,2.41719e-23,1.72104e-28
0.2189448492,3.87464e-23,9.32455e-20,3.87461e-23,2.95268e-28
0.2190600833,3.0156e-23,9.30931e-20,3.01557e-23,3.17414e-28
0.2191753781,2.0721e-23,9.2941e-20,2.07207e-23,2.80869e-28
0.2192907336,2.79021e-23,9.27894e-20,2.79018e-23,3.43221e-28
0.2194061498,3.23806e-23,9.26382e-20,3.23801e-23,4.44654e-28
0.2195216267,4.14799e-23,9.24873e-20,4.14793e-23,5.96416e-28
0.2196371644,3.11339e-23,9.23364e-20,3.11334e-23,5.19544e-28
0.2197527629,3.65594e-23,9.21861e-20,3.65588e-23,5.05254e-28
0.2198684222,3.45635e-23,9.2036e-20,3.4563e-23,4.84815e-28
0.2199841425,4.00402e-23,9.18862e-20,4.00396e-23,5.65602e-28
0.2200999236,1.92164e-23,9.17364e-20,1.9216e-23,3.94275e-28
0.2202157656,3.31915e-23,9.15874e-20,3.31909e-23,5.06574e-28
0.2203316687,6.26293e-23,9.1439e-20,6.26286e-23,6.56118e-28
0.2204476327,3.4883e-23,9.12899e-20,3.48827e-23,2.97679e-28
0.2205636578,2.3844e-23,9.11414e-20,2.38438e-23,1.74533e-28
0.2206797439,3.09862e-23,9.09936e-20,3.09859e-23,2.36173e-28
0.2207958912,2.87087e-23,9.08458e-20,2.87085e-23,2.49199e-28
0.2209120995,1.26015e-23,9.06981e-20,1.26013e-23,1.58654e-28
0.221028369,2.56153e-23,9.05512e-20,2.56151e-23,2.24057e-28
0.2211446998,6.81398e-24,9.04041e-20,6.81389e-24,9.41247e-29
0.2212610917,9.56371e-24,9.02576e-20,9.56356e-24,1.49208e-28
0.2213775449,4.69151e-23,9.0112e-20,4.69146e-23,4.45108e-28
0.2214940594,2.57973e-23,8.99657e-20,2.57969e-23,3.83146e-28
0.2216106352,4.72447e-23,8.98204e-20,4.72442e-23,5.29684e-28
0.2217272724,8.75488e-24,8.96744e-20,8.75466e-24,2.24827e-28
0.221843971,1.67196e-23,8.95295e-20,1.67193e-23,2.63285e-28
0.221960731,3.52828e-23,8.9385e-20,3.52824e-23,4.44856e-28
0.2220775524,2.30599e-23,8.92404e-20,2.30596e-23,3.57605e-28
0.2221944353,4.24695e-23,8.90965e-20,4.24691e-23,4.43393e-28
0.2223113798,2.10935e-23,8.89522e-20,2.10933e-23,2.75734e-28
0.2224283857,4.22987e-23,8.88089e-20,4.22983e-23,3.84982e-28
0.2225454533,2.79671e-23,8.86654e-20,2.79668e-23,3.01081e-28
0.2226625825,2.60071e-23,8.85223e-20,2.60069e-23,2.89728e-28
0.2227797733,3.53833e-23,8.83797e-20,3.5383e-23,3.51631e-28
0.2228970259,3.31064e-23,8.82372e-20,3.3106e-23,3.78316e-28
0.2230143401,5.07303e-23,8.80953e-20,5.07297e-23,5.53842e-28
0.223131716,3.66558e-23,8.79531e-20,3.66553e-23,4.43998e-28
0.2232491538,4.0892e-23,8.78115e-20,4.08915e-23,5.44097e-28
0.2233666533,8.04876e-23,8.76709e-20,8.04867e-23,9.48612e-28
0.2234842147,4.5333e-23,8.75292e-20,4.53323e-23,6.83902e-28
0.223601838,4.84001e-23,8.73885e-20,4.83995e-23,6.37606e-28
0.2237195232,3.38771e-23,8.72477e-20,3.38766e-23,4.91064e-28
0.2238372703,3.93317e-23,8.71076e-20,3.93313e-23,4.76999e-28
0.2239550794,3.90549e-23,8.69676e-20,3.90544e-23,4.93824e-28
0.2240729505,5.34501e-23,8.68282e-20,5.34496e-23,5.55934e-28
0.2241908836,5.6926e-23,8.66888e-20,5.69255e-23,5.3127e-28
0.2243088788,3.95609e-23,8.65494e-20,3.95605e-23,4.01331e-28
0.2244269361,5.72108e-23,8.64108e-20,5.72102e-23,5.26404e-28
0.2245450556,4.35553e-23,8.6272e-20,4.35548e-23,4.40224e-28
0.2246632372,3.56178e-23,8.61336e-20,3.56175e-23,3.80864e-28
0.224781481,4.86634e-23,8.59958e-20,4.86629e-23,4.68864e-28
0.224899787,3.73177e-23,8.58578e-20,3.73174e-23,3.72984e-28
0.2250181553,2.03673e-23,8.57201e-20,2.03671e-23,2.37408e-28
0.2251365859,2.52494e-23,8.55829e-20,2.52492e-23,2.88416e-28
0.2252550789,4.32043e-23,8.54463e-20,4.32038e-23,4.32451e-28
0.2253736342,1.35567e-23,8.53091e-20,1.35565e-23,2.07875e-28
0.2254922519,2.69156e-23,8.51729e-20,2.69153e-23,2.70206e-28
